id,Label,Slope,Aspect,Elevation,Horizontal_Distance_To_Hydrology
188,covtype188,22,46,3017,212
189,covtype189,4,256,3077,618
190,covtype190,8,338,2929,190
191,covtype191,12,127,2735,67
192,covtype192,20,319,2893,150
193,covtype193,4,45,3231,648
194,covtype194,10,89,2560,218
195,covtype195,15,43,3162,484
196,covtype196,14,188,2982,120
197,covtype197,5,66,2731,0
198,covtype198,11,50,3172,759
199,covtype199,21,138,2916,127
200,covtype200,17,63,2890,153
201,covtype201,10,45,2704,323
202,covtype202,18,23,3198,604
203,covtype203,5,214,2985,342
204,covtype204,21,323,3011,443
205,covtype205,18,312,3024,474
206,covtype206,16,56,3244,618
207,covtype207,25,36,2972,30
208,covtype208,13,167,2985,458
209,covtype209,17,23,2539,90
210,covtype210,8,260,3001,720
211,covtype211,10,51,2952,150
212,covtype212,13,211,2962,255
213,covtype213,4,45,2727,124
214,covtype214,17,167,3004,603
215,covtype215,8,22,2886,285
216,covtype216,8,344,3024,600
217,covtype217,14,187,3034,335
218,covtype218,13,279,2903,190
219,covtype219,4,245,2926,30
220,covtype220,16,200,2942,180
221,covtype221,13,54,2991,495
222,covtype222,9,116,2742,150
223,covtype223,18,356,2606,67
224,covtype224,5,326,3244,750
225,covtype225,14,27,3237,997
226,covtype226,24,359,2616,42
227,covtype227,11,16,2913,457
228,covtype228,7,48,2813,201
229,covtype229,1,149,2530,319
230,covtype230,7,45,3260,503
231,covtype231,3,90,3047,870
232,covtype232,20,60,2955,201
233,covtype233,13,77,2893,85
234,covtype234,24,38,2965,247
235,covtype235,15,230,3037,570
236,covtype236,10,152,3027,792
237,covtype237,16,70,2756,120
238,covtype238,6,325,2939,510
239,covtype239,9,126,3198,418
240,covtype240,7,90,3195,362
241,covtype241,6,222,2975,360
242,covtype242,13,84,2890,30
243,covtype243,10,109,3018,815
244,covtype244,5,85,3011,842
245,covtype245,16,79,3221,618
246,covtype246,7,135,3004,811
247,covtype247,20,49,2572,384
248,covtype248,11,128,3260,743
249,covtype249,4,25,3168,30
250,covtype250,12,349,2878,67
251,covtype251,8,9,3198,301
252,covtype252,8,260,2975,391
253,covtype253,10,38,3178,0
254,covtype254,10,176,2995,690
255,covtype255,8,144,2913,210
256,covtype256,9,175,2982,424
257,covtype257,12,209,2945,362
258,covtype258,2,143,2995,631
259,covtype259,5,288,2945,0
260,covtype260,8,288,2959,120
261,covtype261,13,114,2796,60
262,covtype262,2,315,2785,60
263,covtype263,17,325,2784,153
264,covtype264,15,320,2789,182
265,covtype265,19,162,2922,240
266,covtype266,3,135,3008,931
267,covtype267,10,73,2978,323
268,covtype268,11,54,2892,134
269,covtype269,10,45,2521,42
270,covtype270,7,72,2985,497
271,covtype271,19,39,3057,626
272,covtype272,9,78,2829,60
273,covtype273,5,331,3201,0
274,covtype274,13,329,3136,789
275,covtype275,14,355,2548,60
276,covtype276,9,89,2962,42
277,covtype277,13,15,2808,201
278,covtype278,12,87,2749,516
279,covtype279,14,328,3155,849
280,covtype280,11,285,2991,849
281,covtype281,5,108,2968,306
282,covtype282,13,77,2932,108
283,covtype283,7,356,2808,153
284,covtype284,4,106,2794,210
285,covtype285,17,24,3080,659
286,covtype286,16,52,2936,180
287,covtype287,10,261,2913,313
288,covtype288,8,232,2919,323
289,covtype289,6,257,2978,85
290,covtype290,14,312,2574,134
291,covtype291,21,59,3142,730
292,covtype292,10,15,2804,212
293,covtype293,8,232,2929,366
294,covtype294,9,246,3001,764
295,covtype295,7,94,2813,371
296,covtype296,6,342,2988,192
297,covtype297,18,59,3175,612
298,covtype298,7,61,2804,362
299,covtype299,10,78,3001,335
300,covtype300,9,141,2914,277
301,covtype301,17,41,2668,283
302,covtype302,12,129,3185,481
303,covtype303,9,216,2913,268
304,covtype304,5,72,3168,418
305,covtype305,9,30,2955,30
306,covtype306,7,100,2932,30
307,covtype307,7,53,3201,488
308,covtype308,5,236,2903,212
309,covtype309,2,352,2874,400
310,covtype310,6,254,2903,212
311,covtype311,12,45,2800,0
312,covtype312,9,336,3257,693
313,covtype313,5,278,3188,210
314,covtype314,8,62,2952,192
315,covtype315,16,237,2932,342
316,covtype316,4,281,3050,630
317,covtype317,11,285,2955,212
318,covtype318,17,41,2791,458
319,covtype319,3,162,3172,180
320,covtype320,14,69,3116,297
321,covtype321,10,51,2895,162
322,covtype322,6,122,3182,134
323,covtype323,9,81,3024,218
324,covtype324,9,251,2962,480
325,covtype325,4,27,2978,192
326,covtype326,12,40,2952,323
327,covtype327,13,348,2945,255
328,covtype328,7,188,3149,134
329,covtype329,15,150,2833,242
330,covtype330,10,185,3136,42
331,covtype331,13,49,2851,268
332,covtype332,8,111,2933,300
333,covtype333,6,110,2810,421
334,covtype334,10,85,3267,484
335,covtype335,16,30,3188,85
336,covtype336,5,37,2955,426
337,covtype337,9,276,3001,752
338,covtype338,10,281,3008,780
339,covtype339,5,28,2942,391
340,covtype340,9,331,2921,395
341,covtype341,5,315,2985,361
342,covtype342,14,289,2978,570
343,covtype343,20,51,2889,362
344,covtype344,3,103,2814,210
345,covtype345,9,127,2938,408
346,covtype346,11,95,2828,127
347,covtype347,12,95,3146,240
348,covtype348,8,94,2977,466
349,covtype349,2,45,3034,680
350,covtype350,19,61,3083,192
351,covtype351,5,23,3044,210
352,covtype352,8,90,2982,242
353,covtype353,15,176,2901,256
354,covtype354,6,66,2995,247
355,covtype355,6,151,2528,108
356,covtype356,8,112,3188,60
357,covtype357,24,243,2939,400
358,covtype358,11,215,3008,696
359,covtype359,9,238,3021,815
360,covtype360,11,80,2937,330
361,covtype361,10,317,2844,67
362,covtype362,3,13,2781,351
363,covtype363,18,252,2945,421
364,covtype364,12,143,2857,85
365,covtype365,7,53,3021,258
366,covtype366,3,141,2919,192
367,covtype367,9,185,2800,170
368,covtype368,18,151,2773,350
369,covtype369,17,144,2759,300
370,covtype370,20,117,2714,242
371,covtype371,26,109,2671,175
372,covtype372,9,126,2975,120
373,covtype373,19,148,2775,335
374,covtype374,18,149,2746,268
375,covtype375,19,148,2743,255
376,covtype376,16,108,2717,201
377,covtype377,14,136,2751,277
378,covtype378,14,131,2739,242
379,covtype379,16,133,2733,228
380,covtype380,15,117,2716,175
381,covtype381,14,99,2611,30
382,covtype382,11,123,3073,0
383,covtype383,18,167,3060,95
384,covtype384,8,120,2899,162
385,covtype385,8,107,2861,30
386,covtype386,3,351,2853,0
387,covtype387,8,202,2785,134
388,covtype388,16,127,2723,190
389,covtype389,23,110,2656,85
390,covtype390,10,194,3064,30
391,covtype391,16,167,3050,67
392,covtype392,13,141,3004,124
393,covtype393,10,58,2952,201
394,covtype394,12,68,3034,362
395,covtype395,20,130,2703,127
396,covtype396,23,128,2685,95
397,covtype397,25,119,2661,67
398,covtype398,4,101,3057,0
399,covtype399,13,139,3050,30
400,covtype400,5,342,3060,495
401,covtype401,14,49,2945,0
402,covtype402,18,123,2704,124
403,covtype403,24,129,2676,67
404,covtype404,14,81,2621,0
405,covtype405,13,45,3060,30
406,covtype406,15,136,2975,124
407,covtype407,4,21,3067,518
408,covtype408,16,128,2719,150
409,covtype409,15,86,2638,0
410,covtype410,19,115,2700,67
411,covtype411,22,108,2673,42
412,covtype412,11,71,2654,0
413,covtype413,12,50,2664,0
414,covtype414,8,80,3050,360
415,covtype415,8,125,2858,268
416,covtype416,9,163,2854,285
417,covtype417,11,56,3047,95
418,covtype418,6,351,2873,201
419,covtype419,12,23,2680,0
420,covtype420,9,120,2839,190
421,covtype421,7,86,2792,228
422,covtype422,11,74,3103,201
423,covtype423,1,90,2702,0
424,covtype424,8,282,2991,268
425,covtype425,6,31,3004,180
426,covtype426,6,117,2919,150
427,covtype427,14,258,2945,376
428,covtype428,1,270,3054,390
429,covtype429,5,75,2978,295
430,covtype430,8,81,2915,0
431,covtype431,4,30,2756,150
432,covtype432,4,155,2717,0
433,covtype433,1,315,2928,150
434,covtype434,3,95,2770,258
435,covtype435,23,77,2656,283
436,covtype436,5,124,2750,150
437,covtype437,7,45,2907,350
438,covtype438,13,65,2781,42
439,covtype439,5,203,2715,124
440,covtype440,11,338,2968,216
441,covtype441,8,130,2739,134
442,covtype442,3,129,2922,218
443,covtype443,6,101,2792,108
444,covtype444,8,90,3064,371
445,covtype445,14,243,3041,513
446,covtype446,8,32,2888,470
447,covtype447,1,180,3080,247
448,covtype448,27,132,2613,170
449,covtype449,4,135,2978,108
450,covtype450,12,353,2952,0
451,covtype451,14,81,2773,108
452,covtype452,8,90,3057,390
453,covtype453,16,45,3064,228
454,covtype454,9,174,2742,268
455,covtype455,16,167,2677,85
456,covtype456,18,140,2567,60
457,covtype457,6,142,2739,228
458,covtype458,14,267,3001,641
459,covtype459,13,343,2584,150
460,covtype460,6,104,2902,558
461,covtype461,9,155,3047,424
462,covtype462,6,212,2909,212
463,covtype463,5,198,2910,234
464,covtype464,10,108,3011,212
465,covtype465,8,68,2998,124
466,covtype466,12,263,3011,674
467,covtype467,12,24,3008,309
468,covtype468,10,18,3004,192
469,covtype469,6,81,3031,513
470,covtype470,5,288,2939,379
471,covtype471,12,277,2949,437
472,covtype472,9,323,3028,242
473,covtype473,1,315,2900,90
474,covtype474,7,96,2932,247
475,covtype475,5,72,2909,324
476,covtype476,3,180,2900,300
477,covtype477,12,143,2867,437
478,covtype478,10,356,3047,618
479,covtype479,14,15,2617,30
480,covtype480,7,340,2998,108
481,covtype481,7,276,2962,497
482,covtype482,12,160,2759,120
483,covtype483,17,217,3027,700
484,covtype484,13,121,2963,175
485,covtype485,15,117,2919,175
486,covtype486,24,343,2690,120
487,covtype487,21,235,2955,451
488,covtype488,13,120,2953,134
489,covtype489,17,124,2887,95
490,covtype490,8,338,3014,150
491,covtype491,11,62,2995,484
492,covtype492,6,142,2965,0
493,covtype493,9,47,2982,437
494,covtype494,10,311,2739,270
495,covtype495,3,243,2916,335
496,covtype496,3,135,3047,932
497,covtype497,2,270,2751,0
498,covtype498,7,318,2690,514
499,covtype499,10,89,2599,30
500,covtype500,7,264,2919,408
501,covtype501,12,253,2975,616
502,covtype502,9,83,2617,127
503,covtype503,7,92,2574,0
504,covtype504,11,19,2939,60
505,covtype505,10,45,2915,60
506,covtype506,5,41,2765,0
507,covtype507,13,348,2784,170
508,covtype508,22,108,2850,42
509,covtype509,7,236,2919,350
510,covtype510,14,233,2995,638
511,covtype511,15,32,2817,390
512,covtype512,2,18,2932,485
513,covtype513,7,11,2826,366
514,covtype514,10,47,2795,451
515,covtype515,5,62,2760,547
516,covtype516,9,76,2700,433
517,covtype517,9,238,3001,592
518,covtype518,3,165,2699,390
519,covtype519,6,79,2730,270
520,covtype520,8,82,2655,384
521,covtype521,14,46,2644,319
522,covtype522,12,252,2998,553
523,covtype523,8,28,2854,446
524,covtype524,8,63,2809,458
525,covtype525,19,94,2633,258
526,covtype526,10,152,2588,182
527,covtype527,10,84,2811,433
528,covtype528,15,208,2926,300
529,covtype529,14,71,2839,488
530,covtype530,11,179,2689,210
531,covtype531,19,66,3015,335
532,covtype532,14,62,2995,362
533,covtype533,7,159,2938,285
534,covtype534,8,130,2929,150
535,covtype535,11,107,2851,458
536,covtype536,14,122,2949,379
537,covtype537,14,33,2596,335
538,covtype538,8,45,2939,306
539,covtype539,17,44,2805,170
540,covtype540,9,52,3074,42
541,covtype541,16,54,2932,283
542,covtype542,20,29,2868,95
543,covtype543,8,128,2864,451
544,covtype544,14,352,2946,170
545,covtype545,12,25,3021,564
546,covtype546,14,49,3018,631
547,covtype547,6,193,2863,390
548,covtype548,6,156,2978,524
549,covtype549,12,63,2945,324
550,covtype550,9,120,2968,365
551,covtype551,5,93,2734,277
552,covtype552,11,83,2728,277
553,covtype553,5,190,2762,30
554,covtype554,5,270,2922,120
555,covtype555,11,61,2926,90
556,covtype556,6,346,2962,518
557,covtype557,27,183,2624,60
558,covtype558,5,107,2917,210
559,covtype559,3,345,2644,85
560,covtype560,4,45,2645,134
561,covtype561,16,24,3024,297
562,covtype562,14,40,2651,242
563,covtype563,7,231,2936,285
564,covtype564,14,127,2813,60
565,covtype565,19,344,2617,30
566,covtype566,5,281,2952,212
567,covtype567,17,286,2968,283
568,covtype568,6,228,2992,458
569,covtype569,9,124,2976,277
570,covtype570,9,131,2796,0
571,covtype571,9,311,2955,421
572,covtype572,13,175,2917,30
573,covtype573,20,72,2821,90
574,covtype574,20,179,2794,124
575,covtype575,4,266,2661,67
576,covtype576,17,119,2793,30
577,covtype577,19,315,2976,319
578,covtype578,21,115,2807,85
579,covtype579,13,87,3109,446
580,covtype580,7,53,3109,362
581,covtype581,19,109,2792,67
582,covtype582,16,121,2775,30
583,covtype583,13,14,3113,376
584,covtype584,9,341,2919,467
585,covtype585,12,129,2757,0
586,covtype586,14,41,2952,335
587,covtype587,15,91,2764,42
588,covtype588,19,109,2753,60
589,covtype589,19,122,2744,30
590,covtype590,18,138,2736,0
591,covtype591,10,156,2954,301
592,covtype592,23,138,2662,30
593,covtype593,14,69,2988,228
594,covtype594,14,72,2965,361
595,covtype595,21,118,2663,30
596,covtype596,10,64,2600,247
597,covtype597,16,71,2942,499
598,covtype598,18,90,2718,30
599,covtype599,19,168,2695,30
600,covtype600,3,31,2669,342
601,covtype601,20,103,2753,108
602,covtype602,18,101,2721,42
603,covtype603,10,142,2686,0
604,covtype604,5,119,2676,0
605,covtype605,6,135,2610,272
606,covtype606,18,137,2706,60
607,covtype607,24,323,2709,127
608,covtype608,3,66,2676,391
609,covtype609,8,70,3201,331
610,covtype610,7,120,2688,30
611,covtype611,2,11,2685,30
612,covtype612,6,347,2684,0
613,covtype613,25,329,2714,127
614,covtype614,5,38,2766,85
615,covtype615,10,101,2695,0
616,covtype616,6,35,2690,0
617,covtype617,24,126,2795,153
618,covtype618,27,332,2740,175
619,covtype619,7,238,3009,446
620,covtype620,19,84,2964,124
621,covtype621,30,332,2783,255
622,covtype622,9,56,2781,190
623,covtype623,8,40,2775,134
624,covtype624,3,39,2781,60
625,covtype625,13,120,3149,150
626,covtype626,5,345,3044,342
627,covtype627,4,76,2919,228
628,covtype628,11,52,2786,182
629,covtype629,8,13,2780,124
630,covtype630,9,350,2780,95
631,covtype631,9,79,2872,0
632,covtype632,2,27,2796,240
633,covtype633,10,54,2790,180
634,covtype634,11,107,2769,95
635,covtype635,7,48,2719,361
636,covtype636,23,357,2763,201
637,covtype637,9,73,3011,659
638,covtype638,13,65,2955,481
639,covtype639,7,135,3149,67
640,covtype640,9,112,2808,0
641,covtype641,13,352,2811,228
642,covtype642,5,60,3205,570
643,covtype643,23,48,2892,150
644,covtype644,14,293,2922,283
645,covtype645,23,352,2828,424
646,covtype646,7,327,2598,30
647,covtype647,10,348,2972,402
648,covtype648,26,348,2834,430
649,covtype649,14,42,2810,300
650,covtype650,17,141,2684,30
651,covtype651,9,39,2613,42
652,covtype652,2,234,2647,323
653,covtype653,9,95,2667,541
654,covtype654,8,305,2942,379
655,covtype655,15,340,2971,85
656,covtype656,5,308,2822,234
657,covtype657,11,60,2661,30
658,covtype658,10,338,2687,437
659,covtype659,8,85,3103,524
660,covtype660,22,50,3034,531
661,covtype661,19,28,2682,60
662,covtype662,22,343,2876,532
663,covtype663,6,358,2802,433
664,covtype664,25,39,2958,351
665,covtype665,16,20,2890,430
666,covtype666,22,27,2702,120
667,covtype667,23,29,2686,95
668,covtype668,17,52,2727,0
669,covtype669,17,36,2720,30
670,covtype670,13,44,2733,30
671,covtype671,15,349,2724,67
672,covtype672,4,13,2619,42
673,covtype673,11,83,3195,366
674,covtype674,6,106,3139,531
675,covtype675,16,44,2929,591
676,covtype676,22,293,2849,120
677,covtype677,5,90,2733,60
678,covtype678,20,333,2803,182
679,covtype679,14,82,2871,228
680,covtype680,13,99,2737,30
681,covtype681,1,135,2730,60
682,covtype682,13,332,2653,190
683,covtype683,13,21,2655,741
684,covtype684,13,332,2659,201
685,covtype685,32,92,2871,218
686,covtype686,7,217,2988,446
687,covtype687,29,316,2920,433
688,covtype688,17,63,2718,242
689,covtype689,8,66,2682,547
690,covtype690,6,324,2662,616
691,covtype691,14,49,3096,242
692,covtype692,11,38,2975,633
693,covtype693,12,93,2653,511
694,covtype694,26,314,2876,295
695,covtype695,4,35,2969,531
696,covtype696,10,119,2662,531
697,covtype697,7,108,2919,85
698,covtype698,12,270,2738,30
699,covtype699,23,27,2673,30
700,covtype700,11,276,2696,120
701,covtype701,14,56,2694,480
702,covtype702,17,56,3024,67
703,covtype703,18,174,2986,234
704,covtype704,5,332,2860,485
705,covtype705,11,40,2690,495
706,covtype706,17,169,2987,390
707,covtype707,17,96,2787,218
708,covtype708,25,299,2934,418
709,covtype709,7,304,2712,190
710,covtype710,13,160,2954,390
711,covtype711,7,68,2750,30
712,covtype712,16,57,3044,108
713,covtype713,10,52,2719,371
714,covtype714,7,76,2764,323
715,covtype715,17,61,3034,212
716,covtype716,14,230,2753,175
717,covtype717,7,26,3109,30
718,covtype718,13,100,2936,300
719,covtype719,15,331,2875,277
720,covtype720,20,273,2878,134
721,covtype721,14,66,2856,371
722,covtype722,7,211,2976,509
723,covtype723,6,9,2747,150
724,covtype724,8,47,2703,319
725,covtype725,20,99,3073,216
726,covtype726,9,93,2932,124
727,covtype727,24,323,2889,277
728,covtype728,9,85,3146,192
729,covtype729,9,64,2651,127
730,covtype730,12,170,2942,323
731,covtype731,2,108,2534,247
732,covtype732,7,10,2774,306
733,covtype733,9,43,2732,0
734,covtype734,12,228,2916,67
735,covtype735,18,118,2744,42
736,covtype736,6,171,2711,108
737,covtype737,8,68,3021,201
738,covtype738,12,87,3032,277
739,covtype739,26,53,2904,30
740,covtype740,6,122,2866,242
741,covtype741,6,24,2539,120
742,covtype742,13,357,2895,60
743,covtype743,10,146,2903,443
744,covtype744,10,123,3086,319
745,covtype745,5,45,3083,256
746,covtype746,6,9,2924,255
747,covtype747,15,56,2740,162
748,covtype748,16,60,3109,319
749,covtype749,4,104,2914,391
750,covtype750,2,45,2686,0
751,covtype751,18,44,2564,67
752,covtype752,16,203,3010,484
753,covtype753,6,111,2753,90
754,covtype754,5,6,2719,67
755,covtype755,1,45,2699,60
756,covtype756,5,82,2925,424
757,covtype757,13,102,2821,242
758,covtype758,11,101,2754,85
759,covtype759,7,344,2674,234
760,covtype760,6,83,3178,306
761,covtype761,13,76,2826,234
762,covtype762,8,95,2725,0
763,covtype763,20,97,2961,150
764,covtype764,7,88,2939,342
765,covtype765,10,181,2761,42
766,covtype766,6,148,2764,175
767,covtype767,22,322,2971,361
768,covtype768,8,355,2992,67
769,covtype769,7,80,2525,67
770,covtype770,4,60,2750,0
771,covtype771,7,345,2742,30
772,covtype772,7,15,2695,285
773,covtype773,10,346,2993,300
774,covtype774,14,30,2931,391
775,covtype775,2,188,2868,108
776,covtype776,3,252,2976,212
777,covtype777,12,67,2926,324
778,covtype778,9,293,2853,42
779,covtype779,11,126,2719,277
780,covtype780,14,109,2624,127
781,covtype781,9,90,2985,295
782,covtype782,10,77,2909,120
783,covtype783,30,130,2911,108
784,covtype784,14,357,2780,85
785,covtype785,7,338,2854,0
786,covtype786,5,315,2997,30
787,covtype787,9,65,3152,120
788,covtype788,10,76,2945,175
789,covtype789,14,63,2821,30
790,covtype790,4,166,3002,258
791,covtype791,14,81,3030,85
792,covtype792,13,125,3041,323
793,covtype793,20,339,2878,30
794,covtype794,12,51,2770,120
795,covtype795,15,89,2733,582
796,covtype796,15,62,3159,150
797,covtype797,12,94,3123,342
798,covtype798,14,69,2673,240
799,covtype799,9,99,2787,30
800,covtype800,7,86,2544,247
801,covtype801,10,55,3162,190
802,covtype802,24,151,2998,124
803,covtype803,7,37,2972,90
804,covtype804,5,113,2859,42
805,covtype805,17,43,2851,255
806,covtype806,11,48,2601,162
807,covtype807,7,96,3025,234
808,covtype808,15,325,2869,120
809,covtype809,11,133,3067,242
810,covtype810,3,248,2905,95
811,covtype811,6,17,3001,323
812,covtype812,12,72,2712,391
813,covtype813,10,72,3050,124
814,covtype814,10,37,2882,0
815,covtype815,9,108,2962,150
816,covtype816,9,357,2762,658
817,covtype817,12,144,3041,60
818,covtype818,11,132,2984,153
819,covtype819,14,131,3090,124
820,covtype820,16,356,3008,42
821,covtype821,17,66,2900,42
822,covtype822,21,234,3014,285
823,covtype823,7,254,2898,30
824,covtype824,3,114,2898,60
825,covtype825,15,32,2834,247
826,covtype826,5,96,2780,582
827,covtype827,7,276,2896,30
828,covtype828,3,352,2898,60
829,covtype829,14,322,2838,85
830,covtype830,11,91,2802,540
831,covtype831,8,292,2891,0
832,covtype832,3,342,2902,67
833,covtype833,10,39,2853,350
834,covtype834,15,194,3025,342
835,covtype835,20,104,2960,150
836,covtype836,15,113,2932,85
837,covtype837,8,351,2896,30
838,covtype838,8,353,2905,42
839,covtype839,20,258,2921,108
840,covtype840,15,335,3046,134
841,covtype841,11,68,2752,418
842,covtype842,10,87,2906,212
843,covtype843,10,81,2756,420
844,covtype844,14,63,2666,212
845,covtype845,11,78,2654,272
846,covtype846,40,354,2975,474
847,covtype847,13,318,3131,618
848,covtype848,16,321,2913,95
849,covtype849,2,198,2908,30
850,covtype850,4,266,2910,42
851,covtype851,3,68,2770,330
852,covtype852,11,113,2914,0
853,covtype853,1,329,2905,30
854,covtype854,11,280,2917,108
855,covtype855,10,270,2924,134
856,covtype856,21,236,2987,365
857,covtype857,13,347,2999,150
858,covtype858,12,290,2878,218
859,covtype859,5,297,2915,108
860,covtype860,11,310,2918,124
861,covtype861,5,205,2925,175
862,covtype862,7,8,2918,85
863,covtype863,16,267,2931,242
864,covtype864,6,351,2997,42
865,covtype865,13,346,3037,418
866,covtype866,15,75,2929,95
867,covtype867,13,350,3174,700
868,covtype868,2,79,3082,212
869,covtype869,5,96,2841,295
870,covtype870,6,294,2928,216
