id,Label,Slope,Aspect,Elevation,Horizontal_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm
144,covtype144,6,21,2893,295,4106,216,227,148
145,covtype145,11,20,2687,150,1986,212,217,140
146,covtype146,17,211,3109,424,6089,204,254,181
147,covtype147,20,200,3119,60,6297,208,253,172
148,covtype148,10,349,2916,488,4472,202,223,160
149,covtype149,3,18,2795,218,3042,217,233,153
150,covtype150,14,58,2555,285,1231,230,209,109
151,covtype151,13,42,2499,497,953,222,212,123
152,covtype152,11,173,3027,335,5678,227,245,149
153,covtype153,15,160,3096,85,6156,234,242,135
154,covtype154,13,105,2916,268,5618,242,223,108
155,covtype155,12,42,2591,350,1398,222,213,125
156,covtype156,16,328,3185,127,4763,178,219,180
157,covtype157,10,221,3021,324,5675,208,250,177
158,covtype158,4,257,3083,510,6363,209,242,171
159,covtype159,33,276,2860,60,5292,115,226,240
160,covtype160,15,196,3008,228,5535,215,251,166
161,covtype161,14,189,3034,384,5754,220,250,160
162,covtype162,16,130,2873,67,4030,244,230,110
163,covtype163,13,49,3182,319,4767,225,211,118
164,covtype164,12,102,2998,384,6026,239,225,114
165,covtype165,20,357,2658,300,1597,184,199,149
166,covtype166,7,15,3175,366,4816,214,226,149
167,covtype167,7,8,2952,488,4953,212,227,152
168,covtype168,12,95,2622,484,1329,239,222,112
169,covtype169,21,288,2955,247,5224,156,233,215
170,covtype170,9,66,2837,201,3655,229,221,124
171,covtype171,3,45,3182,458,4723,220,232,149
172,covtype172,3,129,3077,618,6296,225,237,147
173,covtype173,4,320,2755,30,2890,209,236,165
174,covtype174,11,28,3047,600,6414,216,215,134
175,covtype175,12,86,2880,30,4369,237,221,113
176,covtype176,3,292,3221,424,4401,212,238,165
177,covtype177,10,115,3182,553,4605,237,231,124
178,covtype178,24,29,3064,150,5051,204,182,104
179,covtype179,15,332,2827,42,3599,185,221,174
180,covtype180,5,107,2518,360,553,229,234,139
181,covtype181,4,180,3050,277,5782,221,242,156
182,covtype182,12,356,3107,283,4855,201,219,155
183,covtype183,15,173,2995,268,6312,228,246,146
184,covtype184,4,164,2721,67,1747,224,241,152
185,covtype185,7,116,3182,579,4425,233,233,133
186,covtype186,11,132,2724,60,2720,238,234,124
187,covtype187,9,90,2515,313,511,233,227,125
188,covtype188,22,46,3017,212,5118,221,188,92
189,covtype189,4,256,3077,618,6230,210,242,170
190,covtype190,8,338,2929,190,4393,202,228,165
191,covtype191,12,127,2735,67,2806,240,232,120
192,covtype192,20,319,2893,150,5825,164,217,192
193,covtype193,4,45,3231,648,4173,221,231,147
194,covtype194,10,89,2560,218,731,235,224,120
195,covtype195,15,43,3162,484,4657,221,205,115
196,covtype196,14,188,2982,120,5501,220,250,160
197,covtype197,5,66,2731,0,2826,225,230,141
198,covtype198,11,50,3172,759,4287,225,215,123
199,covtype199,21,138,2916,127,6349,247,227,98
200,covtype200,17,63,2890,153,3670,233,202,96
201,covtype201,10,45,2704,323,1323,223,219,130
202,covtype202,18,23,3198,604,4545,207,200,124
203,covtype203,5,214,2985,342,5495,215,245,166
204,covtype204,21,323,3011,443,5838,164,214,188
205,covtype205,18,312,3024,474,5785,169,224,194
206,covtype206,16,56,3244,618,3865,229,204,104
207,covtype207,25,36,2972,30,5113,209,176,90
208,covtype208,13,167,2985,458,5571,230,244,144
209,covtype209,17,23,2539,90,488,207,201,125
210,covtype210,8,260,3001,720,5790,200,245,183
211,covtype211,10,51,2952,150,5123,225,218,126
212,covtype212,13,211,2962,255,5365,209,252,177
213,covtype213,4,45,2727,124,2285,221,231,147
214,covtype214,17,167,3004,603,5798,232,244,137
215,covtype215,8,22,2886,285,3849,215,222,144
216,covtype216,8,344,3024,600,5201,203,227,163
217,covtype217,14,187,3034,335,6084,221,249,158
218,covtype218,13,279,2903,190,4179,184,241,197
219,covtype219,4,245,2926,30,5180,212,243,169
220,covtype220,16,200,2942,180,5276,212,252,170
221,covtype221,13,54,2991,495,4849,227,211,115
222,covtype222,9,116,2742,150,2475,236,231,126
223,covtype223,18,356,2606,67,911,188,205,152
224,covtype224,5,326,3244,750,3730,207,234,166
225,covtype225,14,27,3237,997,4002,213,210,130
226,covtype226,24,359,2616,42,977,176,187,142
227,covtype227,11,16,2913,457,3974,211,217,142
228,covtype228,7,48,2813,201,3018,223,225,137
229,covtype229,1,149,2530,319,234,221,238,154
230,covtype230,7,45,3260,503,3558,222,225,138
231,covtype231,3,90,3047,870,5484,224,234,146
232,covtype232,20,60,2955,201,4934,231,195,88
233,covtype233,13,77,2893,85,6012,236,215,107
234,covtype234,24,38,2965,247,4883,212,181,92
235,covtype235,15,230,3037,570,5985,196,252,191
236,covtype236,10,152,3027,792,5316,233,240,138
237,covtype237,16,70,2756,120,2501,235,208,100
238,covtype238,6,325,2939,510,4078,206,234,167
239,covtype239,9,126,3198,418,4200,235,234,130
240,covtype240,7,90,3195,362,4243,231,229,132
241,covtype241,6,222,2975,360,5719,213,245,169
242,covtype242,13,84,2890,30,5918,238,218,108
243,covtype243,10,109,3018,815,5833,238,229,121
244,covtype244,5,85,3011,842,5389,228,231,137
245,covtype245,16,79,3221,618,3968,239,210,96
246,covtype246,7,135,3004,811,5383,231,237,138
247,covtype247,20,49,2572,384,391,224,192,94
248,covtype248,11,128,3260,743,3824,238,233,124
249,covtype249,4,25,3168,30,4426,218,231,150
250,covtype250,12,349,2878,67,3489,198,220,161
251,covtype251,8,9,3198,301,4099,211,224,150
252,covtype252,8,260,2975,391,6071,200,245,183
253,covtype253,10,38,3178,0,4286,220,217,131
254,covtype254,10,176,2995,690,6068,226,246,152
255,covtype255,8,144,2913,210,5478,232,239,139
256,covtype256,9,175,2982,424,5267,225,245,153
257,covtype257,12,209,2945,362,5877,211,251,173
258,covtype258,2,143,2995,631,5459,223,238,151
259,covtype259,5,288,2945,0,4801,205,239,173
260,covtype260,8,288,2959,120,4683,199,240,180
261,covtype261,13,114,2796,60,2599,242,226,111
262,covtype262,2,315,2785,60,2486,214,237,161
263,covtype263,17,325,2784,153,1798,177,220,182
264,covtype264,15,320,2789,182,1771,181,225,183
265,covtype265,19,162,2922,240,5076,235,241,129
266,covtype266,3,135,3008,931,5727,224,238,150
267,covtype267,10,73,2978,323,5160,232,221,121
268,covtype268,11,54,2892,134,3178,226,217,123
269,covtype269,10,45,2521,42,408,223,218,129
270,covtype270,7,72,2985,497,5372,228,227,133
271,covtype271,19,39,3057,626,4435,217,196,107
272,covtype272,9,78,2829,60,2941,232,223,123
273,covtype273,5,331,3201,0,4002,208,234,164
274,covtype274,13,329,3136,789,4228,187,223,175
275,covtype275,14,355,2548,60,551,197,215,155
276,covtype276,9,89,2962,42,4891,234,225,122
277,covtype277,13,15,2808,201,2431,208,213,141
278,covtype278,12,87,2749,516,1499,238,220,111
279,covtype279,14,328,3155,849,4184,185,222,177
280,covtype280,11,285,2991,849,5939,189,240,191
281,covtype281,5,108,2968,306,4113,229,234,138
282,covtype282,13,77,2932,108,3911,236,216,108
283,covtype283,7,356,2808,153,2592,209,227,157
284,covtype284,4,106,2794,210,1888,227,234,142
285,covtype285,17,24,3080,659,4377,208,201,125
286,covtype286,16,52,2936,180,4656,227,203,105
287,covtype287,10,261,2913,313,5706,197,245,187
288,covtype288,8,232,2919,323,5728,207,248,178
289,covtype289,6,257,2978,85,4795,205,244,177
290,covtype290,14,312,2574,134,636,183,229,187
291,covtype291,21,59,3142,730,4155,231,192,85
292,covtype292,10,15,2804,212,1917,211,219,144
293,covtype293,8,232,2929,366,5835,208,247,177
294,covtype294,9,246,3001,764,5961,201,247,184
295,covtype295,7,94,2813,371,1800,231,230,132
296,covtype296,6,342,2988,192,4805,208,231,162
297,covtype297,18,59,3175,612,4042,231,200,96
298,covtype298,7,61,2804,362,1838,226,225,133
299,covtype299,10,78,3001,335,5320,234,221,118
300,covtype300,9,141,2914,277,3471,234,238,135
301,covtype301,17,41,2668,283,1276,219,200,110
302,covtype302,12,129,3185,481,3899,240,233,121
303,covtype303,9,216,2913,268,5715,211,249,173
304,covtype304,5,72,3168,418,3855,226,230,138
305,covtype305,9,30,2955,30,4478,218,220,137
306,covtype306,7,100,2932,30,4280,232,231,131
307,covtype307,7,53,3201,488,3667,224,225,135
308,covtype308,5,236,2903,212,5656,211,244,171
309,covtype309,2,352,2874,400,2869,216,236,157
310,covtype310,6,254,2903,212,5689,206,244,176
311,covtype311,12,45,2800,0,2244,223,214,124
312,covtype312,9,336,3257,693,3443,199,227,167
313,covtype313,5,278,3188,210,3634,206,241,173
314,covtype314,8,62,2952,192,4487,227,223,130
315,covtype315,16,237,2932,342,5797,189,252,198
316,covtype316,4,281,3050,630,5540,209,240,169
317,covtype317,11,285,2955,212,4302,188,240,192
318,covtype318,17,41,2791,458,1740,220,201,111
319,covtype319,3,162,3172,180,3632,222,240,153
320,covtype320,14,69,3116,297,3870,234,212,107
321,covtype321,10,51,2895,162,3326,225,219,127
322,covtype322,6,122,3182,134,3510,230,235,138
323,covtype323,9,81,3024,218,4152,233,224,123
324,covtype324,9,251,2962,480,5863,201,246,183
325,covtype325,4,27,2978,192,4780,218,230,149
326,covtype326,12,40,2952,323,4558,221,213,124
327,covtype327,13,348,2945,255,3768,194,217,161
328,covtype328,7,188,3149,134,3718,221,245,159
329,covtype329,15,150,2833,242,1953,238,238,126
330,covtype330,10,185,3136,42,3623,222,248,158
331,covtype331,13,49,2851,268,2538,225,211,118
332,covtype332,8,111,2933,300,3644,234,231,129
333,covtype333,6,110,2810,421,1871,230,234,138
334,covtype334,10,85,3267,484,3194,235,223,119
335,covtype335,16,30,3188,85,3340,213,203,121
336,covtype336,5,37,2955,426,3905,220,229,145
337,covtype337,9,276,3001,752,5893,197,242,184
338,covtype338,10,281,3008,780,5864,194,241,187
339,covtype339,5,28,2942,391,3707,218,230,148
340,covtype340,9,331,2921,395,3516,200,230,169
341,covtype341,5,315,2985,361,5023,206,235,169
342,covtype342,14,289,2978,570,4480,179,238,198
343,covtype343,20,51,2889,362,2689,225,193,94
344,covtype344,3,103,2814,210,2145,225,235,145
345,covtype345,9,127,2938,408,2896,236,234,128
346,covtype346,11,95,2828,127,2467,238,224,116
347,covtype347,12,95,3146,240,3287,239,222,112
348,covtype348,8,94,2977,466,4283,232,229,129
349,covtype349,2,45,3034,680,5544,220,234,151
350,covtype350,19,61,3083,192,3320,232,197,90
351,covtype351,5,23,3044,210,3481,217,228,148
352,covtype352,8,90,2982,242,3695,232,228,129
353,covtype353,15,176,2901,256,3181,226,247,149
354,covtype354,6,66,2995,247,4770,227,227,135
355,covtype355,6,151,2528,108,598,228,240,145
356,covtype356,8,112,3188,60,2880,235,231,128
357,covtype357,24,243,2939,400,5619,164,250,217
358,covtype358,11,215,3008,696,5880,209,251,176
359,covtype359,9,238,3021,815,5855,204,248,181
360,covtype360,11,80,2937,330,4094,234,221,118
361,covtype361,10,317,2844,67,2758,194,231,178
362,covtype362,3,13,2781,351,2148,216,233,154
363,covtype363,18,252,2945,421,5615,176,249,209
364,covtype364,12,143,2857,85,3111,238,237,127
365,covtype365,7,53,3021,258,3544,224,224,134
366,covtype366,3,141,2919,192,3992,225,238,149
367,covtype367,9,185,2800,170,2382,222,246,158
368,covtype368,18,151,2773,350,1680,240,237,119
369,covtype369,17,144,2759,300,1590,242,234,115
370,covtype370,20,117,2714,242,1470,250,217,85
371,covtype371,26,109,2671,175,1350,253,200,58
372,covtype372,9,126,2975,120,4763,235,234,130
373,covtype373,19,148,2775,335,1770,242,234,113
374,covtype374,18,149,2746,268,1620,240,236,119
375,covtype375,19,148,2743,255,1590,242,235,114
376,covtype376,16,108,2717,201,1500,246,220,98
377,covtype377,14,136,2751,277,1680,241,234,119
378,covtype378,14,131,2739,242,1620,242,232,116
379,covtype379,16,133,2733,228,1590,244,231,111
380,covtype380,15,117,2716,175,1500,245,225,105
381,covtype381,14,99,2611,30,1200,243,220,103
382,covtype382,11,123,3073,0,3060,239,231,121
383,covtype383,18,167,3060,95,3251,232,244,136
384,covtype384,8,120,2899,162,3944,234,234,132
385,covtype385,8,107,2861,30,3434,234,231,129
386,covtype386,3,351,2853,0,3342,214,234,158
387,covtype387,8,202,2785,134,2429,217,247,165
388,covtype388,16,127,2723,190,1560,245,228,108
389,covtype389,23,110,2656,85,1350,252,208,72
390,covtype390,10,194,3064,30,3111,218,249,164
391,covtype391,16,167,3050,67,3229,231,244,140
392,covtype392,13,141,3004,124,3500,239,236,124
393,covtype393,10,58,2952,201,3736,228,218,123
394,covtype394,12,68,3034,362,5550,232,216,114
395,covtype395,20,130,2703,127,1500,248,225,97
396,covtype396,23,128,2685,95,1440,251,218,81
397,covtype397,25,119,2661,67,1380,253,210,70
398,covtype398,4,101,3057,0,3069,226,234,144
399,covtype399,13,139,3050,30,3127,240,235,123
400,covtype400,5,342,3060,495,5700,209,232,161
401,covtype401,14,49,2945,0,4671,225,208,114
402,covtype402,18,123,2704,124,1530,247,224,99
403,covtype403,24,129,2676,67,1440,251,217,79
404,covtype404,14,81,2621,0,1290,238,214,103
405,covtype405,13,45,3060,30,3046,223,211,120
406,covtype406,15,136,2975,124,3543,243,232,114
407,covtype407,4,21,3067,518,5739,217,231,151
408,covtype408,16,128,2719,150,1621,244,229,109
409,covtype409,15,86,2638,0,1351,241,213,98
410,covtype410,19,115,2700,67,1533,249,218,90
411,covtype411,22,108,2673,42,1473,251,208,72
412,covtype412,11,71,2654,0,1413,233,218,115
413,covtype413,12,50,2664,0,1445,225,214,122
414,covtype414,8,80,3050,360,5638,231,225,127
415,covtype415,8,125,2858,268,3288,233,235,134
416,covtype416,9,163,2854,285,3246,229,243,146
417,covtype417,11,56,3047,95,3182,227,218,123
418,covtype418,6,351,2873,201,3459,210,230,159
419,covtype419,12,23,2680,0,1511,213,214,136
420,covtype420,9,120,2839,190,3055,236,233,128
421,covtype421,7,86,2792,228,2862,230,229,132
422,covtype422,11,74,3103,201,2870,233,219,116
423,covtype423,1,90,2702,0,1727,221,236,151
424,covtype424,8,282,2991,268,5024,198,241,182
425,covtype425,6,31,3004,180,5222,219,228,145
426,covtype426,6,117,2919,150,3903,231,234,136
427,covtype427,14,258,2945,376,5535,186,247,199
428,covtype428,1,270,3054,390,5742,215,239,161
429,covtype429,5,75,2978,295,4847,227,230,137
430,covtype430,8,81,2915,0,4345,231,226,128
431,covtype431,4,30,2756,150,2571,218,231,149
432,covtype432,4,155,2717,0,2037,224,240,150
433,covtype433,1,315,2928,150,4194,215,237,160
434,covtype434,3,95,2770,258,2813,224,235,147
435,covtype435,23,77,2656,283,1320,242,190,66
436,covtype436,5,124,2750,150,2370,229,236,140
437,covtype437,7,45,2907,350,4041,222,225,138
438,covtype438,13,65,2781,42,3162,232,214,112
439,covtype439,5,203,2715,124,1920,217,245,164
440,covtype440,11,338,2968,216,3426,196,225,167
441,covtype441,8,130,2739,134,2160,234,236,133
442,covtype442,3,129,2922,218,4283,225,237,147
443,covtype443,6,101,2792,108,3180,230,232,135
444,covtype444,8,90,3064,371,2822,232,228,129
445,covtype445,14,243,3041,513,5911,192,250,195
446,covtype446,8,32,2888,470,3700,219,224,141
447,covtype447,1,180,3080,247,2715,219,239,157
448,covtype448,27,132,2613,170,1260,251,215,73
449,covtype449,4,135,2978,108,3247,226,238,146
450,covtype450,12,353,2952,0,4928,200,219,157
451,covtype451,14,81,2773,108,3019,238,215,106
452,covtype452,8,90,3057,390,2783,232,228,129
453,covtype453,16,45,3064,228,5623,223,203,110
454,covtype454,9,174,2742,268,2455,226,245,152
455,covtype455,16,167,2677,85,1680,231,244,140
456,covtype456,18,140,2567,60,1110,244,232,110
457,covtype457,6,142,2739,228,2465,229,239,143
458,covtype458,14,267,3001,641,5749,182,245,201
459,covtype459,13,343,2584,150,812,192,219,165
460,covtype460,6,104,2902,558,3643,230,233,136
461,covtype461,9,155,3047,424,2760,231,241,142
462,covtype462,6,212,2909,212,4092,215,246,168
463,covtype463,5,198,2910,234,4063,218,244,161
464,covtype464,10,108,3011,212,2912,237,229,122
465,covtype465,8,68,2998,124,2987,228,225,130
466,covtype466,12,263,3011,674,5753,189,246,196
467,covtype467,12,24,3008,309,5353,213,214,135
468,covtype468,10,18,3004,192,5232,212,219,143
469,covtype469,6,81,3031,513,5542,228,230,136
470,covtype470,5,288,2939,379,5448,207,239,171
471,covtype471,12,277,2949,437,5506,186,242,195
472,covtype472,9,323,3028,242,5079,196,230,174
473,covtype473,1,315,2900,90,5152,216,237,159
474,covtype474,7,96,2932,247,3861,232,229,129
475,covtype475,5,72,2909,324,4554,226,230,138
476,covtype476,3,180,2900,300,4725,220,241,156
477,covtype477,12,143,2867,437,3363,237,237,129
478,covtype478,10,356,3047,618,5664,204,222,156
479,covtype479,14,15,2617,30,1652,207,211,139
480,covtype480,7,340,2998,108,2978,205,230,163
481,covtype481,7,276,2962,497,3610,201,242,179
482,covtype482,12,160,2759,120,2782,233,242,139
483,covtype483,17,217,3027,700,5844,201,254,185
484,covtype484,13,121,2963,175,4557,241,229,116
485,covtype485,15,117,2919,175,4375,244,225,106
486,covtype486,24,343,2690,120,1816,163,195,165
487,covtype487,21,235,2955,451,5590,180,253,205
488,covtype488,13,120,2953,134,4518,241,229,115
489,covtype489,17,124,2887,95,4252,246,226,102
490,covtype490,8,338,3014,150,2888,202,228,165
491,covtype491,11,62,2995,484,3209,230,216,118
492,covtype492,6,142,2965,0,4778,229,239,143
493,covtype493,9,47,2982,437,3387,223,220,131
494,covtype494,10,311,2739,270,1765,193,233,180
495,covtype495,3,243,2916,335,5442,213,242,166
496,covtype496,3,135,3047,932,5900,224,238,149
497,covtype497,2,270,2751,0,3068,214,239,163
498,covtype498,7,318,2690,514,967,202,234,171
499,covtype499,10,89,2599,30,558,235,224,120
500,covtype500,7,264,2919,408,5490,202,244,181
501,covtype501,12,253,2975,616,5780,193,248,193
502,covtype502,9,83,2617,127,573,233,224,122
503,covtype503,7,92,2574,0,408,232,229,129
504,covtype504,11,19,2939,60,3980,212,217,141
505,covtype505,10,45,2915,60,4397,223,218,129
506,covtype506,5,41,2765,0,3263,221,229,144
507,covtype507,13,348,2784,170,2758,194,217,161
508,covtype508,22,108,2850,42,3976,251,210,76
509,covtype509,7,236,2919,350,5470,208,246,176
510,covtype510,14,233,2995,638,5932,196,252,191
511,covtype511,15,32,2817,390,2561,216,207,124
512,covtype512,2,18,2932,485,4326,217,234,154
513,covtype513,7,11,2826,366,2648,213,225,150
514,covtype514,10,47,2795,451,2260,224,219,129
515,covtype515,5,62,2760,547,1842,224,230,142
516,covtype516,9,76,2700,433,1124,231,224,126
517,covtype517,9,238,3001,592,5966,204,248,181
518,covtype518,3,165,2699,390,908,222,240,154
519,covtype519,6,79,2730,270,1353,228,229,135
520,covtype520,8,82,2655,384,607,232,225,126
521,covtype521,14,46,2644,319,518,224,209,116
522,covtype522,12,252,2998,553,5940,193,248,193
523,covtype523,8,28,2854,446,2791,217,223,141
524,covtype524,8,63,2809,458,2251,228,223,128
525,covtype525,19,94,2633,258,454,246,208,84
526,covtype526,10,152,2588,182,277,233,240,138
527,covtype527,10,84,2811,433,2250,234,224,121
528,covtype528,15,208,2926,300,5633,208,253,176
529,covtype529,14,71,2839,488,2370,235,213,107
530,covtype530,11,179,2689,210,932,225,247,153
531,covtype531,19,66,3015,335,3777,235,199,88
532,covtype532,14,62,2995,362,3836,231,211,109
533,covtype533,7,159,2938,285,4891,228,242,146
534,covtype534,8,130,2929,150,4651,233,236,135
535,covtype535,11,107,2851,458,2402,238,227,119
536,covtype536,14,122,2949,379,5131,242,229,113
537,covtype537,14,33,2596,335,150,216,209,125
538,covtype538,8,45,2939,306,4602,223,222,134
539,covtype539,17,44,2805,170,1902,222,200,108
540,covtype540,9,52,3074,42,3105,225,221,130
541,covtype541,16,54,2932,283,3578,228,203,104
542,covtype542,20,29,2868,95,3369,209,192,112
543,covtype543,8,128,2864,451,2741,234,235,133
544,covtype544,14,352,2946,170,4298,195,216,158
545,covtype545,12,25,3021,564,3847,213,213,134
546,covtype546,14,49,3018,631,3936,225,208,114
547,covtype547,6,193,2863,390,2869,220,245,161
548,covtype548,6,156,2978,524,5532,228,241,147
549,covtype549,12,63,2945,324,3561,230,215,116
550,covtype550,9,120,2968,365,5386,236,232,127
551,covtype551,5,93,2734,277,1645,228,232,138
552,covtype552,11,83,2728,277,1587,236,220,114
553,covtype553,5,190,2762,30,1972,220,244,159
554,covtype554,5,270,2922,120,4843,207,241,173
555,covtype555,11,61,2926,90,5123,229,218,121
556,covtype556,6,346,2962,518,5549,209,231,160
