id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9
106,product-106,31,102,139,205,49,214,89,206,90,7,110,185
107,product-107,159,211,92,109,175,131,28,101,40,88,92,133
108,product-108,118,164,235,223,65,53,90,171,101,64,95,19
109,product-109,118,179,219,46,83,109,36,121,122,14,118,192
110,product-110,199,277,146,200,123,128,191,193,21,167,37,44
111,product-111,144,232,271,189,36,118,120,87,54,155,63,81
112,product-112,67,143,259,18,239,86,68,195,125,47,179,129
113,product-113,26,48,220,35,167,38,181,187,95,111,102,73
114,product-114,119,211,163,109,175,38,182,134,62,213,22,53
115,product-115,57,81,104,193,170,14,47,58,252,134,25,122
116,product-116,113,162,191,105,261,95,120,137,127,116,147,110
117,product-117,56,147,88,180,38,100,109,220,76,211,86,112
118,product-118,92,115,148,13,106,35,88,147,170,80,182,66
119,product-119,91,148,51,210,160,215,84,45,102,101,84,244
120,product-120,54,119,228,125,131,106,80,177,216,100,185,38
121,product-121,24,74,51,215,99,196,77,86,246,246,159,142
122,product-122,212,242,23,70,61,185,89,51,27,232,191,154
123,product-123,194,238,64,23,22,148,132,259,116,172,144,23
124,product-124,56,110,143,84,133,89,122,99,124,160,6,102
125,product-125,57,137,237,209,29,66,76,215,86,109,141,21
126,product-126,81,167,39,211,125,209,76,149,37,40,144,129
127,product-127,137,156,178,141,27,41,127,254,45,30,166,75
128,product-128,28,34,136,204,153,189,33,192,187,61,66,122
129,product-129,165,201,55,128,72,101,87,127,77,126,266,58
130,product-130,141,190,117,130,113,194,30,147,155,104,144,30
131,product-131,81,86,83,100,67,37,81,118,115,55,46,174
132,product-132,193,254,186,171,184,119,137,13,93,212,155,161
133,product-133,199,205,27,17,136,40,243,111,30,181,203,190
134,product-134,15,82,195,156,107,225,136,44,162,90,77,24
135,product-135,24,100,193,208,110,58,120,118,68,191,177,100
136,product-136,229,255,97,138,47,36,208,28,12,175,142,268
137,product-137,133,191,9,218,199,227,107,89,63,132,227,226
138,product-138,46,51,243,102,123,138,124,136,86,54,108,67
139,product-139,35,126,201,74,60,119,85,139,201,64,206,194
140,product-140,236,282,201,57,127,199,76,174,121,79,73,39
141,product-141,223,255,124,78,83,58,168,148,3,239,101,75
142,product-142,245,273,101,179,123,244,91,65,52,196,196,103
143,product-143,61,130,63,62,25,68,180,108,209,160,153,122
144,product-144,196,270,180,185,130,79,106,29,196,121,40,189
145,product-145,69,143,21,55,223,114,151,98,140,61,238,176
146,product-146,143,188,80,79,157,88,174,156,57,236,90,207
147,product-147,183,202,80,151,46,198,122,120,216,40,15,210
148,product-148,186,222,16,138,184,236,111,58,44,4,121,95
149,product-149,35,83,127,138,126,190,177,53,131,147,89,5
150,product-150,195,266,81,83,11,232,164,141,172,45,221,29
151,product-151,207,243,124,159,205,173,37,217,40,143,65,72
152,product-152,153,205,249,150,175,149,68,154,99,147,181,161
153,product-153,128,209,108,103,58,93,48,209,48,169,60,173
154,product-154,81,173,36,70,46,182,139,137,151,93,41,204
155,product-155,171,227,140,114,204,176,210,69,117,26,216,37
156,product-156,72,118,81,101,235,24,142,7,4,102,89,152
157,product-157,115,178,212,115,53,114,116,51,36,28,42,259
158,product-158,255,291,23,275,83,77,191,257,20,191,118,144
159,product-159,188,212,24,211,103,174,136,95,219,157,79,254
160,product-160,185,281,186,121,4,222,144,88,213,127,66,79
161,product-161,82,162,71,229,138,91,96,192,185,132,88,55
162,product-162,74,130,28,86,166,127,94,72,200,46,128,178
163,product-163,24,26,113,177,167,77,106,171,200,181,170,99
164,product-164,149,214,173,131,87,201,66,91,212,94,78,115
165,product-165,96,171,150,111,87,103,57,169,194,60,111,200
166,product-166,204,245,106,146,226,191,177,65,16,174,67,101
167,product-167,272,335,100,165,197,188,258,184,70,212,114,117
168,product-168,194,238,145,53,214,165,38,172,56,180,72,70
169,product-169,130,147,62,131,250,180,208,91,253,159,55,93
170,product-170,42,61,252,151,18,169,37,185,141,113,65,167
171,product-171,185,204,242,151,25,142,184,72,25,115,199,108
172,product-172,62,123,134,77,122,175,97,211,136,178,152,151
173,product-173,97,124,115,164,32,42,45,8,134,17,93,258
174,product-174,157,191,211,17,83,49,196,14,141,201,243,216
175,product-175,145,229,238,154,125,130,203,120,127,142,187,68
176,product-176,149,172,181,81,107,132,186,8,16,72,66,130
177,product-177,110,195,82,213,18,93,71,166,209,76,211,53
178,product-178,198,200,84,212,168,126,220,167,172,149,123,66
179,product-179,10,51,175,199,247,165,14,50,19,136,205,177
180,product-180,77,93,83,119,50,165,119,194,255,206,139,102
181,product-181,243,283,239,198,162,8,63,168,203,70,56,51
182,product-182,91,135,131,187,178,139,96,72,149,61,230,68
183,product-183,162,174,253,155,51,35,89,99,157,147,217,132
184,product-184,10,69,178,172,75,63,165,190,95,132,48,215
185,product-185,169,230,110,141,192,176,156,110,100,152,1,159
186,product-186,199,266,124,215,92,108,24,95,153,105,195,88
187,product-187,221,290,176,282,170,188,117,196,220,157,220,120
188,product-188,95,141,60,104,202,60,253,234,227,143,167,238
189,product-189,61,62,33,45,177,207,144,36,138,155,101,68
190,product-190,94,179,156,79,210,162,107,134,39,36,58,155
191,product-191,60,105,91,105,137,134,212,62,119,6,40,42
192,product-192,152,208,22,2,92,119,101,114,159,139,222,35
193,product-193,65,127,80,182,193,194,64,167,151,200,216,127
194,product-194,82,169,34,200,136,115,79,97,265,191,175,125
195,product-195,130,225,35,187,15,259,190,137,162,210,65,51
196,product-196,54,141,141,170,61,187,84,129,129,66,50,201
197,product-197,163,223,111,216,132,42,165,138,229,160,208,58
198,product-198,156,168,71,115,172,30,280,62,99,191,238,55
199,product-199,192,261,170,149,76,51,151,130,91,111,102,156
200,product-200,145,221,151,206,252,164,103,175,92,218,162,198
201,product-201,79,155,219,204,162,108,182,173,126,98,190,194
202,product-202,241,319,170,90,222,110,75,104,108,172,159,224
203,product-203,245,305,219,97,17,5,112,129,136,97,157,162
204,product-204,187,221,274,144,130,67,33,93,61,193,96,94
205,product-205,185,262,169,147,189,144,234,74,101,141,218,193
206,product-206,75,131,104,107,221,55,53,142,67,178,126,46
207,product-207,12,20,175,13,168,88,102,122,221,151,109,176
208,product-208,146,216,30,79,24,31,145,129,127,140,76,186
209,product-209,64,103,48,235,151,124,67,226,120,23,168,17
210,product-210,31,69,41,156,61,27,211,72,147,133,219,96
211,product-211,103,189,94,125,126,174,155,146,216,141,123,88
212,product-212,138,174,117,82,101,236,35,129,55,239,142,113
213,product-213,99,173,174,112,76,122,91,213,188,211,129,151
214,product-214,181,215,138,197,42,106,238,121,157,103,118,95
215,product-215,83,84,101,188,37,168,93,180,211,284,200,115
216,product-216,37,133,71,92,139,37,68,109,239,36,106,68
217,product-217,263,270,237,26,175,169,193,173,65,162,104,23
218,product-218,160,257,39,111,94,38,173,24,175,144,253,106
219,product-219,188,200,169,110,211,206,182,197,96,78,229,203
220,product-220,76,115,188,194,142,82,102,213,67,189,201,50
221,product-221,128,177,63,110,193,9,54,115,74,97,108,213
222,product-222,69,134,175,156,167,73,111,173,131,163,95,259
223,product-223,267,331,102,164,200,135,22,57,156,222,208,65
224,product-224,130,185,205,179,13,166,204,40,108,179,6,166
225,product-225,101,182,236,185,95,67,200,55,71,169,194,223
226,product-226,123,184,209,122,162,83,47,91,126,204,135,116
227,product-227,23,58,161,71,84,7,41,98,190,187,37,49
228,product-228,211,239,187,179,249,102,219,56,112,174,12,19
229,product-229,183,245,230,107,160,240,88,116,58,144,141,85
230,product-230,141,172,276,173,106,129,2,64,118,46,108,249
231,product-231,96,110,124,145,82,40,119,158,163,11,56,64
232,product-232,124,161,50,131,208,130,53,92,174,69,10,210
233,product-233,223,309,67,68,66,33,47,154,158,214,149,221
234,product-234,261,354,65,40,169,82,176,178,139,145,130,84
235,product-235,161,204,162,89,214,206,134,155,108,155,94,67
236,product-236,169,226,44,29,105,143,137,52,81,171,152,185
237,product-237,195,278,87,107,88,199,142,27,77,22,194,155
238,product-238,162,201,11,147,115,49,159,114,6,119,65,149
239,product-239,224,303,43,108,120,97,154,124,93,36,81,229
240,product-240,141,175,72,23,227,221,53,209,73,196,168,165
241,product-241,112,177,153,31,147,151,136,211,119,88,72,240
242,product-242,101,154,185,222,57,169,64,127,16,184,46,130
243,product-243,136,216,222,197,29,188,176,217,68,51,34,155
244,product-244,84,116,83,219,191,111,120,165,84,69,74,142
245,product-245,39,91,89,153,102,198,167,189,199,59,27,15
246,product-246,236,286,184,170,159,208,15,152,28,152,74,165
247,product-247,193,273,183,78,236,179,188,96,45,116,87,156
248,product-248,29,44,180,216,86,23,95,6,13,200,72,169
249,product-249,75,120,27,98,68,247,55,22,165,168,214,59
250,product-250,50,106,4,109,200,55,167,66,61,135,143,176
251,product-251,109,189,134,115,176,187,193,57,156,264,96,122
252,product-252,19,78,202,187,27,127,93,263,23,142,82,110
253,product-253,164,186,90,145,176,120,133,182,76,212,185,101
254,product-254,84,86,159,97,70,199,56,67,54,69,105,171
255,product-255,128,214,64,41,58,68,90,22,168,122,180,178
256,product-256,193,254,12,100,50,233,106,205,110,164,147,195
257,product-257,184,230,181,173,21,45,202,48,51,118,81,61
258,product-258,285,321,109,212,185,56,126,28,176,25,117,181
259,product-259,179,275,65,81,165,190,104,125,184,183,172,137
260,product-260,61,138,197,231,205,188,228,222,29,120,86,132
261,product-261,146,190,222,82,147,137,85,128,70,172,71,25
262,product-262,218,290,152,131,120,128,162,227,190,12,127,239
263,product-263,45,67,27,81,150,156,48,182,91,241,85,59
264,product-264,139,153,144,148,196,169,176,97,113,228,64,28
265,product-265,168,219,133,178,87,97,53,273,257,141,52,240
266,product-266,97,130,123,199,89,180,71,255,126,143,87,58
267,product-267,210,235,197,159,61,29,203,96,32,90,139,22
268,product-268,207,256,166,215,36,34,150,136,53,98,183,29
269,product-269,111,184,150,144,200,44,71,182,215,163,119,122
270,product-270,133,155,201,180,41,196,84,134,195,170,212,24
271,product-271,93,184,46,146,172,185,82,32,32,167,23,143
272,product-272,65,152,52,145,153,184,133,78,176,75,113,82
273,product-273,133,221,227,253,138,119,229,63,203,25,90,136
274,product-274,11,96,260,76,227,15,178,82,62,196,73,24
275,product-275,15,73,75,180,125,74,71,228,206,166,29,3
276,product-276,159,177,141,45,84,132,138,130,28,107,73,198
277,product-277,206,259,39,56,61,166,77,188,58,107,153,60
278,product-278,195,267,97,73,33,177,124,97,117,147,133,29
279,product-279,247,250,212,129,181,87,172,148,53,174,203,15
280,product-280,190,277,7,213,40,169,57,128,93,188,152,228
281,product-281,78,119,96,133,230,112,186,74,171,160,174,120
282,product-282,222,271,54,175,108,64,174,202,156,41,66,134
283,product-283,158,196,201,225,33,43,187,66,189,47,152,41
284,product-284,144,217,104,181,85,54,222,99,223,95,175,290
285,product-285,42,73,212,93,106,146,106,99,184,177,13,93
286,product-286,133,142,176,193,154,74,168,207,66,93,97,98
287,product-287,62,112,148,64,82,134,59,15,128,218,21,146
288,product-288,55,86,161,76,103,141,38,217,116,232,142,207
289,product-289,189,253,65,127,74,62,205,173,142,143,72,90
290,product-290,52,131,107,37,16,179,10,258,45,100,232,150
291,product-291,157,176,170,50,99,49,233,189,110,71,74,82
292,product-292,106,170,72,65,144,64,97,81,95,137,80,39
293,product-293,213,220,104,108,140,207,115,68,143,24,106,46
294,product-294,71,81,143,168,252,182,182,64,179,188,256,136
295,product-295,27,80,73,105,151,161,125,197,219,112,204,75
296,product-296,50,124,206,113,130,88,46,121,159,30,175,48
297,product-297,184,258,194,60,116,124,58,176,175,225,123,7
298,product-298,118,208,76,23,139,124,99,158,50,108,44,151
299,product-299,178,183,185,223,78,188,155,71,122,103,87,209
300,product-300,238,334,49,227,180,249,121,153,150,82,57,70
301,product-301,176,259,122,206,104,104,76,197,113,69,251,35
302,product-302,216,257,193,190,70,92,159,52,252,35,66,59
303,product-303,156,244,83,27,161,175,37,5,32,188,178,185
304,product-304,200,219,146,123,42,206,64,88,92,102,121,122
305,product-305,209,227,11,31,187,182,219,95,246,64,30,100
306,product-306,218,237,202,71,30,153,58,185,80,189,232,120
307,product-307,69,137,37,239,230,215,63,51,173,67,191,43
308,product-308,174,190,48,131,11,166,102,108,187,211,92,185
309,product-309,14,96,123,54,104,85,167,209,60,143,124,250
310,product-310,66,147,267,46,27,113,81,148,161,188,148,141
311,product-311,56,117,98,44,49,35,85,144,145,134,43,113
312,product-312,272,342,146,142,193,93,68,98,94,149,176,72
313,product-313,52,56,80,51,49,87,67,162,109,47,139,116
314,product-314,127,201,106,197,163,227,78,62,246,27,132,213
315,product-315,123,170,200,10,60,71,56,60,29,150,151,51
316,product-316,160,221,221,95,60,90,30,125,138,119,163,124
317,product-317,180,185,125,166,228,114,75,85,130,63,130,180
318,product-318,107,125,145,51,10,216,92,149,116,7,84,193
319,product-319,156,209,30,203,158,231,158,34,229,97,168,41
320,product-320,51,69,51,102,87,144,192,141,172,100,191,14
321,product-321,124,146,99,91,104,51,71,182,58,49,104,83
322,product-322,100,115,203,169,58,74,2,90,163,67,101,130
323,product-323,182,210,73,117,159,163,114,179,186,165,191,98
324,product-324,213,297,115,208,69,157,202,213,131,72,81,219
325,product-325,207,231,184,163,119,183,197,94,47,214,90,98
326,product-326,147,233,51,31,31,73,89,64,228,59,182,53
327,product-327,216,220,151,158,163,126,103,127,123,138,132,199
328,product-328,89,162,55,237,29,12,126,98,157,248,63,114
329,product-329,197,216,67,166,152,128,27,257,53,201,203,141
330,product-330,134,159,156,122,189,135,51,88,115,119,218,196
331,product-331,188,192,184,219,131,51,123,51,112,208,187,168
332,product-332,64,111,218,55,174,221,65,156,191,66,205,221
333,product-333,31,63,217,58,136,140,269,124,101,203,62,18
334,product-334,94,176,115,207,211,104,110,47,32,56,113,128
335,product-335,76,139,154,63,126,156,100,178,205,98,135,145
336,product-336,159,189,187,114,153,120,14,113,193,171,107,169
337,product-337,176,240,35,186,95,68,78,22,34,173,152,30
338,product-338,181,184,202,68,257,186,129,11,87,79,134,91
339,product-339,200,237,240,140,60,222,174,173,60,231,171,150
340,product-340,122,159,147,57,19,196,106,166,208,169,144,159
341,product-341,149,151,118,61,106,66,55,220,48,83,163,140
342,product-342,160,221,46,193,112,127,86,208,181,68,132,99
343,product-343,142,166,139,203,82,31,220,84,84,207,201,138
344,product-344,53,105,48,126,136,41,194,26,189,92,47,91
345,product-345,53,109,106,83,91,81,171,153,166,164,161,84
346,product-346,118,166,56,130,175,143,99,79,123,190,49,179
347,product-347,103,121,106,58,15,156,178,194,105,198,50,280
348,product-348,196,256,71,199,58,88,34,72,183,142,48,34
349,product-349,164,246,131,67,239,25,155,67,89,122,85,114
350,product-350,52,97,174,199,134,94,190,169,228,137,118,231
351,product-351,89,107,141,103,216,204,140,116,163,230,87,196
352,product-352,150,239,107,213,180,137,161,159,171,92,142,63
353,product-353,161,196,216,113,46,71,261,115,123,58,57,42
354,product-354,193,195,116,202,55,46,61,74,52,79,138,151
355,product-355,115,136,202,38,104,265,237,116,114,188,94,127
356,product-356,53,109,101,146,125,176,58,164,50,180,132,68
357,product-357,210,213,178,54,193,126,76,200,43,234,141,44
358,product-358,200,240,73,176,162,53,132,157,58,140,174,56
359,product-359,55,139,43,191,26,54,34,127,128,78,133,51
360,product-360,113,158,102,60,199,124,78,176,93,217,55,205
361,product-361,182,185,111,194,234,24,247,77,132,109,220,168
362,product-362,121,143,111,81,120,143,128,61,202,163,135,116
363,product-363,75,123,14,139,205,41,157,210,129,175,47,206
364,product-364,79,83,80,15,143,97,133,94,57,17,131,198
365,product-365,49,55,243,45,129,182,204,141,99,90,34,48
366,product-366,67,123,211,224,26,88,205,141,216,173,82,58
367,product-367,215,277,176,181,55,45,178,32,244,206,177,48
368,product-368,61,116,121,152,136,162,29,132,5,196,40,86
369,product-369,40,93,241,58,91,82,190,103,68,173,185,160
370,product-370,249,330,184,102,241,133,200,80,150,135,128,215
371,product-371,139,162,193,106,127,152,112,166,138,93,153,115
372,product-372,203,223,154,187,220,199,89,241,217,202,105,81
373,product-373,34,90,87,79,74,137,181,22,93,125,153,116
374,product-374,148,185,120,20,76,14,214,175,153,56,80,137
375,product-375,162,251,103,200,101,249,115,146,132,27,133,198
376,product-376,100,168,211,141,170,36,82,115,100,125,103,64
377,product-377,143,208,70,217,196,97,213,92,159,17,188,140
378,product-378,191,240,169,146,192,211,29,175,37,214,133,140
379,product-379,201,238,48,177,137,42,146,185,150,55,73,111
380,product-380,109,118,222,206,87,148,126,202,154,114,94,128
381,product-381,92,157,44,222,141,51,99,84,55,119,63,101
382,product-382,7,97,64,120,62,109,35,162,112,205,19,114
383,product-383,151,162,43,163,91,160,126,35,182,33,97,242
384,product-384,178,245,64,145,210,165,162,144,157,137,204,60
385,product-385,130,133,111,17,173,71,217,167,190,18,52,141
386,product-386,60,134,79,119,67,39,15,181,132,140,113,72
387,product-387,270,319,95,257,90,182,83,13,51,98,182,139
388,product-388,141,190,127,181,260,152,59,100,259,177,88,200
389,product-389,53,123,145,84,15,196,63,160,0,55,93,75
390,product-390,83,84,21,171,153,104,67,163,116,30,177,167
391,product-391,173,220,43,187,153,187,188,136,63,215,89,177
392,product-392,172,218,190,185,79,152,77,237,132,13,73,217
393,product-393,89,187,213,34,13,30,208,86,86,116,97,153
394,product-394,175,247,151,162,86,52,147,78,198,66,68,168
395,product-395,113,137,106,98,111,60,79,150,105,49,64,195
396,product-396,144,230,268,54,192,12,140,76,9,64,93,237
397,product-397,151,201,80,96,211,137,21,154,51,77,128,192
398,product-398,105,155,175,66,55,102,37,103,129,157,162,103
399,product-399,49,84,174,202,159,16,194,74,39,77,121,126
400,product-400,164,185,166,75,119,167,55,148,161,31,28,117
401,product-401,168,174,77,81,178,64,254,168,97,201,129,170
402,product-402,227,274,87,12,42,92,220,117,129,109,120,62
403,product-403,127,180,10,130,76,10,101,68,109,75,219,136
404,product-404,184,207,67,161,52,67,74,114,55,185,91,198
405,product-405,62,90,135,175,35,254,83,107,133,99,106,173
406,product-406,198,248,207,152,22,163,236,67,186,137,35,131
407,product-407,138,170,91,148,196,201,188,132,100,79,200,166
408,product-408,171,204,57,106,163,84,6,123,26,22,92,71
409,product-409,195,239,212,152,206,81,95,61,33,81,56,126
410,product-410,156,227,167,6,111,166,91,86,94,47,132,76
411,product-411,53,118,169,133,127,76,140,123,150,26,62,57
412,product-412,139,179,84,94,140,30,216,67,110,183,175,30
413,product-413,96,105,121,201,95,155,45,97,189,71,78,66
414,product-414,122,134,69,22,9,206,112,75,44,41,40,171
415,product-415,123,138,200,71,80,132,100,139,188,120,223,161
416,product-416,138,204,214,187,151,184,23,94,96,149,103,28
417,product-417,105,145,165,171,77,153,64,121,95,91,72,61
418,product-418,183,226,167,139,200,161,114,89,132,36,183,4
419,product-419,84,155,279,112,192,135,219,80,27,209,191,208
420,product-420,12,36,229,83,69,66,167,201,177,131,268,176
421,product-421,215,264,179,179,111,221,76,190,167,136,224,108
422,product-422,30,80,198,41,40,14,103,102,36,78,94,189
423,product-423,164,173,218,79,60,95,22,63,25,154,43,248
424,product-424,21,35,120,116,95,42,141,129,79,237,190,89
425,product-425,149,242,58,132,165,78,199,176,135,145,173,94
426,product-426,135,192,101,63,126,32,45,158,75,59,31,206
427,product-427,129,138,25,23,184,125,161,95,19,167,206,60
428,product-428,136,157,144,49,174,191,262,122,194,77,221,291
429,product-429,153,192,82,155,205,146,150,154,204,23,89,62
430,product-430,206,271,113,134,54,113,190,202,75,131,45,43
431,product-431,126,189,187,87,133,110,142,25,169,98,131,14
432,product-432,59,100,111,148,87,86,40,202,89,152,212,187
433,product-433,111,168,169,158,177,115,81,245,93,24,130,31
434,product-434,113,116,191,140,94,36,162,142,191,160,189,97
435,product-435,133,172,90,244,101,116,71,122,135,181,120,172
436,product-436,49,104,185,160,120,84,110,144,212,44,152,172
437,product-437,67,131,70,77,4,129,97,209,219,180,60,102
438,product-438,210,242,179,144,7,230,124,243,165,116,87,110
439,product-439,55,147,142,216,170,209,171,127,116,63,197,121
440,product-440,202,264,63,121,80,139,226,83,112,148,91,86
441,product-441,112,175,101,133,50,61,189,199,188,136,120,94
442,product-442,59,63,83,84,216,168,67,25,165,79,188,37
443,product-443,29,104,34,249,138,57,190,220,45,61,126,143
444,product-444,125,156,82,171,36,107,78,142,81,142,120,140
445,product-445,178,209,172,100,130,174,87,96,23,134,101,141
446,product-446,172,263,115,26,211,100,81,165,209,136,105,208
447,product-447,20,73,169,49,104,65,123,203,213,174,85,208
448,product-448,183,272,91,148,99,200,6,129,223,27,82,123
449,product-449,62,132,125,103,179,71,112,123,54,200,75,178
450,product-450,17,69,198,237,53,213,52,75,52,216,53,13
451,product-451,42,107,192,75,114,114,177,148,10,131,194,211
452,product-452,85,120,173,229,70,209,259,20,78,124,182,88
453,product-453,28,71,217,121,109,57,177,157,105,120,99,171
454,product-454,79,171,183,228,216,83,169,110,137,69,118,25
455,product-455,178,186,137,87,257,135,150,103,66,203,17,54
456,product-456,161,238,239,31,96,129,104,64,82,98,212,165
457,product-457,103,150,24,78,122,70,182,116,132,126,90,69
458,product-458,84,163,168,31,240,142,179,190,186,169,109,171
459,product-459,202,284,103,142,54,33,119,70,172,49,84,202
460,product-460,107,184,219,133,6,134,140,77,170,77,85,15
461,product-461,71,138,52,131,92,205,43,54,197,134,81,86
462,product-462,123,180,159,173,107,93,133,59,191,129,130,107
