id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5
170,customer-170,118,205,82,145,195,184,203,172
171,customer-171,88,107,63,173,106,115,137,92
172,customer-172,196,285,88,79,171,65,120,45
173,customer-173,203,293,60,195,192,180,180,54
174,customer-174,46,120,163,190,131,201,147,144
175,customer-175,58,133,91,96,22,123,66,67
176,customer-176,8,107,74,8,119,159,68,194
177,customer-177,201,252,152,247,205,168,181,55
178,customer-178,203,275,39,124,114,132,41,178
179,customer-179,231,307,228,120,55,132,171,113
180,customer-180,37,136,146,227,227,101,146,205
181,customer-181,31,38,26,203,229,83,255,49
182,customer-182,195,195,127,221,245,112,218,110
183,customer-183,181,258,156,24,195,156,35,111
184,customer-184,133,218,197,230,166,65,194,85
185,customer-185,183,218,33,206,107,198,149,130
186,customer-186,93,145,76,25,186,146,172,231
187,customer-187,92,158,193,197,161,164,46,62
188,customer-188,55,65,172,9,182,186,19,193
189,customer-189,81,134,77,176,72,96,178,131
190,customer-190,171,214,93,152,181,207,228,88
191,customer-191,85,118,39,8,51,87,183,235
192,customer-192,199,239,176,94,106,102,74,190
193,customer-193,155,241,155,77,2,109,86,135
194,customer-194,60,86,73,151,160,37,44,204
195,customer-195,41,57,31,55,16,50,45,187
196,customer-196,214,232,65,240,154,144,203,35
197,customer-197,180,197,80,61,156,126,241,216
198,customer-198,125,214,64,183,139,167,184,42
199,customer-199,59,103,21,180,217,218,83,177
200,customer-200,126,183,64,115,197,127,48,112
201,customer-201,171,195,101,16,15,145,200,201
202,customer-202,109,138,7,46,162,157,44,189
203,customer-203,178,273,67,199,67,4,199,183
204,customer-204,110,140,140,89,203,102,101,155
205,customer-205,208,249,62,103,46,203,122,16
206,customer-206,131,160,57,129,162,251,122,193
207,customer-207,147,200,98,11,216,78,122,133
208,customer-208,200,230,244,145,184,124,26,13
209,customer-209,215,215,172,132,144,141,131,97
210,customer-210,209,309,94,77,80,6,154,200
211,customer-211,173,209,218,175,127,156,120,221
212,customer-212,0,60,225,159,114,39,173,83
213,customer-213,115,155,117,232,182,101,148,261
214,customer-214,191,281,179,99,133,228,179,81
215,customer-215,167,234,13,29,78,85,164,21
216,customer-216,211,248,141,148,141,138,202,63
217,customer-217,185,217,227,259,107,217,152,93
218,customer-218,191,210,199,27,78,124,43,10
219,customer-219,203,265,183,69,85,150,39,200
220,customer-220,161,205,158,195,185,183,45,24
221,customer-221,136,189,136,178,67,73,153,181
222,customer-222,122,139,165,170,52,205,219,99
223,customer-223,97,139,152,75,54,47,214,66
224,customer-224,140,189,98,241,252,198,51,46
225,customer-225,42,65,13,159,182,68,83,132
226,customer-226,78,132,135,158,207,101,113,157
227,customer-227,118,181,100,222,68,26,135,143
228,customer-228,72,72,54,152,205,100,130,136
229,customer-229,147,150,176,83,188,220,170,158
230,customer-230,126,145,77,64,146,101,107,128
231,customer-231,20,91,172,58,203,122,158,143
232,customer-232,163,178,80,128,63,38,211,30
233,customer-233,232,307,232,93,53,84,33,39
234,customer-234,85,99,218,17,152,72,95,121
235,customer-235,159,186,141,79,64,194,79,154
236,customer-236,69,142,62,133,42,68,95,17
237,customer-237,253,295,100,170,93,39,95,204
238,customer-238,161,208,48,74,213,63,114,106
239,customer-239,213,215,61,64,108,53,185,30
240,customer-240,182,206,176,41,154,226,199,130
241,customer-241,150,230,126,155,183,20,175,86
242,customer-242,102,163,129,178,188,192,219,34
243,customer-243,97,123,32,197,171,105,201,125
244,customer-244,68,75,84,227,196,224,176,156
245,customer-245,67,103,230,154,65,29,46,94
246,customer-246,148,177,170,176,121,144,193,48
247,customer-247,53,101,174,54,200,82,133,217
248,customer-248,94,113,118,224,93,136,82,81
249,customer-249,186,249,70,50,12,192,140,115
250,customer-250,170,257,94,84,21,146,32,32
251,customer-251,85,175,207,163,157,199,143,108
252,customer-252,58,117,199,79,44,144,128,145
253,customer-253,71,138,181,151,85,136,198,89
254,customer-254,135,180,148,129,25,41,51,225
255,customer-255,223,286,97,126,112,142,175,185
256,customer-256,129,224,65,192,155,156,222,54
257,customer-257,140,184,141,36,56,206,62,90
258,customer-258,133,180,163,202,204,197,149,159
259,customer-259,220,234,163,209,217,181,88,48
260,customer-260,112,133,174,55,167,44,60,180
261,customer-261,159,203,178,220,19,36,19,86
262,customer-262,123,128,183,189,88,90,127,93
263,customer-263,96,100,29,120,128,126,83,80
264,customer-264,149,187,111,88,175,28,131,154
265,customer-265,163,225,135,177,75,191,150,58
266,customer-266,161,213,156,99,183,194,165,47
267,customer-267,163,177,71,91,76,169,198,103
268,customer-268,131,195,119,147,6,111,33,125
269,customer-269,79,148,218,96,85,181,240,236
270,customer-270,57,143,58,127,195,177,46,205
271,customer-271,215,287,171,56,7,78,224,115
272,customer-272,39,71,186,164,196,42,32,31
273,customer-273,150,236,75,229,78,168,115,223
274,customer-274,207,252,202,80,123,12,50,192
275,customer-275,162,232,220,60,143,135,256,160
276,customer-276,56,92,116,65,116,50,102,171
277,customer-277,147,195,184,54,156,217,42,78
278,customer-278,115,175,124,140,219,113,71,11
279,customer-279,135,151,91,167,41,70,121,82
280,customer-280,88,89,149,182,61,97,57,86
281,customer-281,218,272,176,56,122,125,226,104
282,customer-282,44,111,192,227,119,182,154,92
283,customer-283,144,144,142,77,70,48,168,58
284,customer-284,206,240,166,207,132,52,223,142
285,customer-285,151,189,67,95,52,25,174,91
286,customer-286,178,246,123,123,183,90,190,53
287,customer-287,218,227,99,274,199,234,169,97
288,customer-288,18,74,18,151,55,118,130,23
289,customer-289,90,98,63,161,230,54,39,53
290,customer-290,50,104,151,191,208,199,172,27
291,customer-291,126,177,142,168,156,134,52,169
292,customer-292,77,99,74,23,30,129,129,81
293,customer-293,96,191,46,99,189,149,42,144
294,customer-294,218,282,98,82,52,102,205,26
295,customer-295,216,225,15,73,129,124,107,55
296,customer-296,5,60,146,140,238,157,114,72
297,customer-297,131,223,178,208,132,98,211,130
298,customer-298,29,36,183,96,104,175,161,201
299,customer-299,57,148,166,73,57,93,185,223
300,customer-300,140,185,215,31,62,225,139,148
301,customer-301,44,46,207,9,126,216,44,201
302,customer-302,224,297,110,56,63,200,114,117
303,customer-303,164,236,132,92,134,178,179,126
304,customer-304,107,164,123,109,88,58,77,35
305,customer-305,157,243,137,70,181,210,15,198
306,customer-306,35,128,192,208,122,83,130,140
307,customer-307,136,138,55,97,190,112,84,235
308,customer-308,42,62,226,208,179,189,128,183
309,customer-309,148,188,41,261,96,119,172,206
310,customer-310,54,104,173,78,170,87,210,159
311,customer-311,156,209,81,203,73,52,237,176
312,customer-312,93,166,158,99,143,38,174,77
313,customer-313,81,153,136,135,109,11,83,173
314,customer-314,25,37,73,215,227,98,101,80
315,customer-315,90,152,75,69,168,149,202,174
316,customer-316,89,158,97,52,228,109,86,14
317,customer-317,159,215,241,77,216,79,147,103
318,customer-318,203,209,163,72,80,115,144,182
319,customer-319,43,67,82,34,43,195,128,94
320,customer-320,220,246,161,94,55,43,49,10
321,customer-321,152,181,89,77,193,176,250,185
322,customer-322,35,48,150,140,95,198,90,158
323,customer-323,175,203,175,84,109,87,142,207
324,customer-324,98,194,76,122,127,28,121,99
325,customer-325,184,217,114,127,37,163,44,203
326,customer-326,175,203,55,56,39,56,141,18
327,customer-327,11,25,143,93,38,183,79,178
328,customer-328,131,156,209,250,211,94,142,112
329,customer-329,46,47,108,100,40,97,56,128
330,customer-330,159,239,188,71,181,248,149,108
331,customer-331,121,200,61,196,153,105,159,117
332,customer-332,91,171,202,39,201,44,65,106
333,customer-333,119,125,149,206,190,29,129,126
334,customer-334,171,217,140,65,112,180,142,76
335,customer-335,149,206,129,52,96,19,69,179
336,customer-336,99,151,164,211,141,62,199,160
337,customer-337,47,79,177,83,69,101,253,45
338,customer-338,21,100,100,46,237,46,119,84
339,customer-339,98,140,102,183,165,93,68,185
340,customer-340,118,156,125,52,90,128,177,118
341,customer-341,201,212,186,131,198,184,171,75
342,customer-342,145,146,103,189,74,164,50,183
343,customer-343,59,107,202,75,65,137,106,45
344,customer-344,199,234,224,60,20,95,98,151
345,customer-345,233,263,196,204,267,174,135,212
346,customer-346,28,118,171,56,213,70,182,141
347,customer-347,155,166,50,53,59,194,165,64
348,customer-348,205,273,160,53,184,10,188,21
349,customer-349,135,137,80,203,71,124,46,171
350,customer-350,36,72,66,186,131,89,152,184
351,customer-351,107,201,197,21,159,282,58,74
352,customer-352,131,153,236,158,254,192,152,200
353,customer-353,199,269,119,227,234,236,177,66
354,customer-354,1,11,170,150,62,170,154,165
355,customer-355,56,96,38,112,107,39,151,213
356,customer-356,176,239,206,63,200,210,175,152
357,customer-357,32,125,108,18,170,182,211,151
358,customer-358,106,133,109,145,122,202,81,119
359,customer-359,205,220,163,107,75,87,62,181
360,customer-360,114,191,189,62,163,262,193,120
361,customer-361,103,187,213,195,125,98,170,123
362,customer-362,18,52,154,167,47,109,133,48
363,customer-363,99,153,103,106,240,136,197,165
364,customer-364,202,290,56,233,107,93,215,121
365,customer-365,83,85,56,79,110,68,68,112
366,customer-366,27,35,162,52,95,198,56,78
367,customer-367,226,245,177,47,127,105,36,41
368,customer-368,83,98,115,78,136,172,166,245
369,customer-369,59,63,15,57,48,114,234,80
370,customer-370,47,72,72,61,90,40,76,112
371,customer-371,150,208,155,96,206,128,203,156
372,customer-372,158,243,142,98,40,195,52,210
373,customer-373,18,52,46,76,143,192,74,103
374,customer-374,229,314,21,197,234,139,203,67
375,customer-375,190,271,167,159,19,72,126,199
376,customer-376,30,83,227,149,186,109,180,121
377,customer-377,130,172,67,120,88,45,154,142
378,customer-378,105,125,39,108,65,198,175,42
379,customer-379,182,183,36,185,103,178,55,82
380,customer-380,168,215,165,21,110,69,184,113
381,customer-381,183,219,190,157,96,140,163,84
382,customer-382,186,244,206,73,153,76,259,80
383,customer-383,126,150,214,193,163,180,202,74
384,customer-384,266,342,184,99,90,32,192,99
385,customer-385,120,151,89,52,29,156,254,169
386,customer-386,76,106,73,131,176,185,112,155
387,customer-387,113,158,196,66,175,102,57,30
388,customer-388,229,311,36,135,145,229,171,114
389,customer-389,56,134,75,157,89,123,169,192
390,customer-390,190,275,152,164,97,83,232,81
391,customer-391,148,202,173,183,169,215,109,216
392,customer-392,148,204,36,141,198,181,166,193
393,customer-393,195,226,24,206,198,42,105,169
394,customer-394,161,210,76,134,167,62,126,171
395,customer-395,184,253,146,173,151,103,196,178
396,customer-396,105,180,160,132,78,13,96,216
397,customer-397,199,223,79,105,38,257,165,113
398,customer-398,164,239,85,229,63,211,184,21
399,customer-399,147,147,102,144,107,74,75,155
400,customer-400,156,229,154,164,176,175,77,175
401,customer-401,24,40,94,122,234,159,115,192
402,customer-402,243,287,225,102,108,157,229,160
403,customer-403,31,81,92,205,93,62,156,24
404,customer-404,105,130,12,51,117,61,109,132
405,customer-405,203,260,124,176,173,186,214,32
406,customer-406,130,152,237,78,199,173,27,167
407,customer-407,198,230,130,67,218,223,96,61
408,customer-408,274,302,32,139,68,79,111,58
409,customer-409,141,150,92,83,53,191,110,81
410,customer-410,22,40,197,110,77,88,165,231
411,customer-411,74,109,188,94,84,125,234,13
412,customer-412,160,234,24,145,133,192,97,72
413,customer-413,215,283,91,192,123,61,183,108
414,customer-414,164,170,104,148,220,93,40,114
415,customer-415,172,194,41,173,138,192,108,130
416,customer-416,142,180,49,87,245,68,42,152
417,customer-417,86,117,18,108,84,90,55,44
418,customer-418,69,136,235,14,117,277,157,195
419,customer-419,159,176,98,201,138,27,121,140
420,customer-420,176,184,67,140,109,232,34,51
421,customer-421,240,315,161,174,174,101,104,63
422,customer-422,89,169,27,72,41,114,43,139
423,customer-423,107,199,61,44,185,208,119,195
424,customer-424,78,92,17,71,136,29,51,151
425,customer-425,101,168,129,69,224,134,173,3
426,customer-426,72,131,123,134,168,130,185,85
427,customer-427,112,204,153,65,127,159,32,78
428,customer-428,53,103,246,19,59,107,217,65
429,customer-429,128,215,114,108,175,257,123,132
430,customer-430,114,189,165,203,180,19,218,37
431,customer-431,80,166,174,189,110,107,135,217
432,customer-432,99,190,177,233,107,4,50,57
433,customer-433,110,198,234,171,157,136,90,193
434,customer-434,138,170,143,166,200,78,51,132
435,customer-435,197,228,142,131,98,126,107,236
436,customer-436,24,93,194,85,84,163,31,107
437,customer-437,48,123,82,188,158,171,157,184
438,customer-438,46,58,46,189,137,206,149,92
439,customer-439,138,169,145,93,72,180,191,131
440,customer-440,20,47,21,44,204,217,103,111
441,customer-441,92,167,144,109,197,217,135,23
442,customer-442,202,255,184,115,136,28,146,44
443,customer-443,200,209,137,144,95,111,82,27
444,customer-444,185,268,134,128,161,40,96,181
445,customer-445,138,145,80,32,167,170,46,172
446,customer-446,195,248,173,87,65,71,51,148
447,customer-447,230,260,133,89,227,85,170,238
448,customer-448,194,288,111,14,155,157,85,92
449,customer-449,216,312,77,124,167,33,106,162
450,customer-450,83,165,26,79,193,173,4,186
451,customer-451,198,274,171,162,66,98,155,133
452,customer-452,182,268,91,179,98,196,129,144
453,customer-453,202,255,198,199,233,153,59,83
454,customer-454,133,142,45,172,185,161,26,148
455,customer-455,14,26,174,24,127,47,1,168
456,customer-456,8,79,54,113,213,29,217,164
457,customer-457,122,132,193,39,112,62,179,105
458,customer-458,113,117,87,162,184,155,127,188
459,customer-459,167,230,137,148,130,80,216,98
460,customer-460,68,165,145,184,71,209,91,26
461,customer-461,82,157,45,74,67,200,131,58
462,customer-462,31,127,154,77,61,142,163,111
463,customer-463,151,239,5,17,160,226,161,152
464,customer-464,48,68,58,208,192,171,123,202
465,customer-465,150,213,85,59,72,214,23,156
466,customer-466,38,93,70,58,8,151,150,116
467,customer-467,84,164,82,110,127,188,158,113
468,customer-468,158,217,181,8,162,129,238,160
469,customer-469,206,232,156,152,240,179,117,197
470,customer-470,119,183,75,196,24,31,196,163
471,customer-471,149,170,27,191,65,23,148,101
472,customer-472,115,175,139,165,177,134,80,86
473,customer-473,94,135,52,40,196,170,193,77
474,customer-474,169,200,84,185,184,143,205,185
475,customer-475,164,222,25,126,187,173,44,67
476,customer-476,168,246,111,147,227,11,117,49
477,customer-477,111,152,151,73,230,56,129,167
478,customer-478,183,198,87,205,170,197,165,216
479,customer-479,152,203,59,131,201,57,140,121
480,customer-480,127,159,117,202,81,274,51,200
481,customer-481,218,289,201,100,64,177,124,45
482,customer-482,89,93,58,56,119,98,30,48
483,customer-483,73,126,129,189,90,114,33,157
484,customer-484,216,233,166,197,26,205,140,198
485,customer-485,133,232,55,44,69,46,22,129
486,customer-486,274,313,106,205,110,143,107,37
487,customer-487,16,22,26,140,242,158,26,39
488,customer-488,142,179,235,125,173,179,111,80
489,customer-489,108,187,99,66,41,44,231,33
490,customer-490,47,139,34,45,206,155,28,71
491,customer-491,159,240,108,82,89,172,109,82
492,customer-492,109,180,155,175,261,122,184,93
493,customer-493,157,232,82,70,124,20,186,87
494,customer-494,190,269,126,81,117,200,168,175
495,customer-495,148,221,25,143,238,224,120,133
496,customer-496,52,123,182,53,112,170,152,196
497,customer-497,108,175,95,144,132,83,82,110
498,customer-498,117,183,182,148,216,66,142,175
499,customer-499,29,105,56,202,85,243,20,132
500,customer-500,181,260,26,31,156,113,231,70
501,customer-501,48,91,20,39,221,67,8,47
502,customer-502,43,131,121,134,254,141,75,36
503,customer-503,167,222,122,129,135,67,205,142
504,customer-504,231,316,127,120,122,82,103,229
505,customer-505,92,159,42,175,93,128,92,59
506,customer-506,172,222,165,110,180,5,82,192
507,customer-507,87,174,142,238,197,177,184,208
508,customer-508,213,219,208,78,110,224,28,70
509,customer-509,25,48,177,12,74,228,104,76
510,customer-510,36,127,170,126,72,86,132,57
511,customer-511,158,223,86,62,175,90,193,184
512,customer-512,250,279,124,97,151,57,106,145
513,customer-513,101,167,98,111,48,162,223,139
514,customer-514,185,258,120,154,158,131,222,45
515,customer-515,143,207,296,109,153,133,220,93
516,customer-516,71,151,134,61,166,190,25,171
517,customer-517,29,56,198,61,176,107,17,110
518,customer-518,210,233,179,70,188,71,115,90
519,customer-519,195,257,176,87,201,175,163,4
520,customer-520,26,51,84,144,82,240,43,95
521,customer-521,35,45,25,164,95,79,44,141
522,customer-522,277,296,55,141,104,163,239,202
523,customer-523,218,246,212,105,115,243,77,82
524,customer-524,191,231,164,152,90,215,161,69
525,customer-525,204,252,115,30,102,143,61,210
526,customer-526,144,223,55,182,158,94,48,90
527,customer-527,162,172,133,212,201,177,132,157
528,customer-528,201,245,216,185,257,155,3,219
529,customer-529,85,145,193,100,190,36,226,234
530,customer-530,35,90,102,83,224,96,79,192
531,customer-531,198,291,219,206,122,69,44,143
532,customer-532,74,100,110,48,97,136,164,100
533,customer-533,13,98,31,232,167,89,156,192
534,customer-534,89,167,77,27,114,21,156,73
535,customer-535,167,177,35,169,123,182,103,91
536,customer-536,172,251,58,20,187,212,202,96
537,customer-537,46,128,188,133,224,140,176,194
538,customer-538,63,144,121,185,231,135,163,29
539,customer-539,115,131,53,144,209,182,60,64
540,customer-540,175,259,203,25,177,175,131,107
541,customer-541,94,138,166,102,212,130,83,88
542,customer-542,86,120,120,11,113,211,57,203
543,customer-543,19,34,130,220,64,78,95,203
544,customer-544,94,180,205,240,218,124,92,63
545,customer-545,142,165,103,222,66,162,110,181
546,customer-546,123,207,53,117,91,195,134,261
547,customer-547,115,150,40,168,158,102,157,77
548,customer-548,131,143,169,108,68,194,38,152
549,customer-549,48,131,109,32,209,174,142,89
550,customer-550,160,209,66,143,154,212,207,179
551,customer-551,173,242,125,185,227,246,87,94
552,customer-552,79,143,221,222,182,80,188,113
553,customer-553,172,204,72,153,43,151,159,210
554,customer-554,60,78,114,39,214,186,214,177
555,customer-555,11,75,218,201,152,73,22,81
556,customer-556,30,93,191,30,161,36,73,178
557,customer-557,178,233,45,127,125,83,14,32
558,customer-558,77,121,56,56,207,110,96,142
559,customer-559,81,180,178,125,112,172,85,209
560,customer-560,170,220,144,177,61,131,92,69
561,customer-561,140,186,145,124,98,202,100,207
562,customer-562,135,168,29,230,59,159,49,128
563,customer-563,93,115,73,153,75,158,98,70
564,customer-564,8,59,61,48,169,125,104,189
565,customer-565,123,157,83,133,190,134,243,127
566,customer-566,223,294,49,73,201,138,173,89
567,customer-567,152,208,141,87,128,227,73,77
568,customer-568,241,254,38,26,226,146,172,215
569,customer-569,179,193,192,215,58,205,104,180
570,customer-570,145,224,59,88,82,178,37,168
571,customer-571,78,166,183,153,199,65,120,170
572,customer-572,67,117,147,140,154,108,157,88
573,customer-573,108,195,143,210,157,115,136,150
574,customer-574,142,186,126,183,127,69,107,145
575,customer-575,86,163,48,27,160,46,98,192
576,customer-576,121,134,80,182,79,178,67,180
577,customer-577,191,227,158,159,222,213,209,174
578,customer-578,57,96,98,195,236,154,199,177
579,customer-579,230,286,29,74,255,97,84,221
580,customer-580,227,230,22,177,62,120,192,119
581,customer-581,13,103,97,31,97,124,61,154
582,customer-582,185,229,152,52,155,147,49,222
583,customer-583,64,90,179,188,109,188,102,255
584,customer-584,149,216,90,194,85,134,38,210
585,customer-585,185,273,119,126,119,223,39,141
586,customer-586,160,221,10,213,136,54,51,53
587,customer-587,118,150,100,92,71,133,190,139
588,customer-588,25,33,36,120,103,129,122,122
589,customer-589,142,211,167,207,119,100,150,124
590,customer-590,114,129,26,137,256,181,182,59
591,customer-591,214,261,178,137,193,82,84,35
592,customer-592,125,219,66,26,191,197,166,175
593,customer-593,162,216,164,144,136,69,202,163
594,customer-594,84,136,144,119,163,32,22,193
595,customer-595,194,224,144,100,137,145,79,75
596,customer-596,93,133,52,195,105,234,136,176
597,customer-597,107,130,76,116,171,214,14,146
598,customer-598,121,206,204,69,182,198,29,197
599,customer-599,192,204,254,6,41,25,94,149
600,customer-600,76,137,55,104,169,8,149,255
601,customer-601,172,205,221,131,45,175,84,220
602,customer-602,24,46,164,109,50,58,207,187
603,customer-603,56,124,33,45,43,159,40,111
604,customer-604,68,137,45,100,46,203,84,182
