id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6
78,product-78,198,250,109,128,129,86,220,49,143
79,product-79,241,292,198,62,10,79,44,154,80
80,product-80,94,187,154,95,198,63,36,196,30
81,product-81,190,263,126,201,42,69,27,234,19
82,product-82,113,136,128,178,60,66,156,107,143
83,product-83,76,136,55,155,109,118,186,85,191
84,product-84,46,106,84,1,159,51,16,163,97
85,product-85,90,152,47,119,115,184,136,120,52
86,product-86,86,91,191,164,216,66,56,213,202
87,product-87,204,214,123,60,170,234,198,157,88
88,product-88,65,121,92,163,107,67,106,97,21
89,product-89,87,158,79,104,205,192,86,77,151
90,product-90,100,132,138,222,193,123,79,151,222
91,product-91,63,127,185,44,84,121,177,196,14
92,product-92,46,133,153,119,53,145,129,236,87
93,product-93,217,267,186,31,126,224,144,79,179
94,product-94,27,121,194,167,35,108,164,174,219
95,product-95,34,80,42,153,138,168,77,25,54
96,product-96,186,248,106,126,112,50,122,85,156
97,product-97,67,143,189,23,154,138,12,176,165
98,product-98,113,208,160,93,162,117,42,203,77
99,product-99,55,61,14,73,172,146,108,213,73
100,product-100,119,215,72,84,193,169,210,104,77
101,product-101,77,114,192,27,172,136,156,30,48
102,product-102,105,197,156,52,25,196,56,102,32
103,product-103,32,58,43,136,85,29,149,183,113
104,product-104,245,335,54,4,179,35,65,185,134
105,product-105,134,222,215,103,188,199,196,138,177
106,product-106,222,222,212,9,77,79,19,200,166
107,product-107,154,235,53,160,41,130,39,154,41
108,product-108,98,123,234,191,208,168,161,281,128
109,product-109,53,89,51,73,11,156,153,7,45
110,product-110,163,257,78,179,169,33,126,119,41
111,product-111,96,96,30,47,253,78,16,220,96
112,product-112,87,159,181,38,118,126,36,66,130
113,product-113,69,135,73,48,83,181,20,108,121
114,product-114,78,159,121,102,152,148,90,173,123
115,product-115,165,250,145,121,160,227,108,166,167
116,product-116,123,167,187,189,53,12,127,239,192
117,product-117,128,171,161,60,215,130,105,125,17
118,product-118,142,146,102,82,172,13,179,221,23
119,product-119,104,129,10,188,89,123,192,269,64
120,product-120,121,205,226,123,50,108,142,136,184
121,product-121,89,100,30,28,138,197,136,12,201
122,product-122,163,211,175,58,225,103,228,88,176
123,product-123,104,132,82,203,99,37,99,164,41
124,product-124,85,100,128,69,11,43,166,144,132
125,product-125,162,172,63,176,46,142,52,39,45
126,product-126,120,140,214,151,204,146,181,151,31
127,product-127,112,175,149,20,228,8,232,121,102
128,product-128,115,149,110,154,34,235,27,269,161
129,product-129,106,110,129,135,207,175,76,183,42
130,product-130,105,182,95,155,9,240,73,140,123
131,product-131,161,187,101,37,44,192,135,193,17
132,product-132,166,196,54,180,201,112,221,26,95
133,product-133,199,262,131,153,113,96,202,66,61
134,product-134,136,148,142,15,212,18,175,162,237
135,product-135,173,179,173,141,91,225,170,93,82
136,product-136,60,116,165,57,43,89,73,73,202
137,product-137,212,299,94,72,44,114,78,18,19
138,product-138,95,107,198,32,60,172,182,213,123
139,product-139,68,68,101,80,153,103,177,56,199
140,product-140,100,102,83,89,35,50,203,156,176
141,product-141,185,273,11,152,199,155,270,262,50
142,product-142,52,131,93,167,126,202,169,183,31
143,product-143,87,122,248,191,135,169,41,123,172
144,product-144,83,150,46,81,122,110,122,92,161
145,product-145,60,70,200,153,20,143,215,150,161
146,product-146,160,245,171,165,116,172,149,191,55
147,product-147,109,152,140,159,33,234,209,22,194
148,product-148,30,54,129,158,185,183,87,205,221
149,product-149,142,175,42,126,218,68,23,180,208
150,product-150,177,210,40,78,71,136,194,96,171
151,product-151,166,252,169,73,154,114,115,126,91
152,product-152,20,72,159,214,147,94,181,184,149
153,product-153,64,156,190,61,95,107,179,129,113
154,product-154,141,174,60,85,149,196,181,225,220
155,product-155,95,169,96,127,93,181,157,69,158
156,product-156,65,67,256,171,117,211,110,152,140
157,product-157,103,182,115,154,215,145,175,168,66
158,product-158,119,181,170,194,50,123,127,10,72
159,product-159,157,162,58,142,222,48,15,143,191
160,product-160,244,322,157,107,223,183,236,191,273
161,product-161,36,105,44,201,173,173,159,135,102
162,product-162,52,67,33,118,136,153,88,195,52
163,product-163,45,133,142,212,137,91,127,125,158
164,product-164,47,137,216,146,41,205,198,121,173
165,product-165,134,159,102,39,131,93,71,40,154
166,product-166,193,269,77,147,148,122,25,127,170
167,product-167,131,145,128,49,81,134,156,146,188
168,product-168,52,66,13,143,203,79,140,100,186
169,product-169,54,116,160,151,71,23,170,116,190
170,product-170,100,107,61,117,109,62,62,112,64
171,product-171,97,180,79,101,52,163,57,184,124
172,product-172,41,45,156,134,189,248,66,187,157
173,product-173,71,74,138,82,121,180,132,138,64
174,product-174,74,130,188,96,161,221,43,15,227
175,product-175,150,206,26,113,100,83,38,85,203
176,product-176,180,207,163,92,192,18,91,105,21
177,product-177,145,235,7,35,207,177,175,38,175
178,product-178,73,81,28,42,129,84,90,181,40
179,product-179,140,178,36,96,177,16,28,113,157
180,product-180,51,82,109,75,190,120,156,150,201
181,product-181,239,302,151,73,126,43,190,191,144
182,product-182,133,139,114,123,58,20,124,66,162
183,product-183,100,171,47,58,224,99,76,50,135
184,product-184,216,313,140,24,94,40,78,69,47
185,product-185,188,216,45,97,82,32,19,123,18
186,product-186,49,64,197,223,152,246,110,100,190
187,product-187,182,238,191,136,223,173,126,188,107
188,product-188,60,72,105,180,197,146,192,72,101
189,product-189,156,170,199,217,88,24,66,71,151
190,product-190,166,242,76,56,160,19,206,236,84
191,product-191,255,341,49,136,34,142,125,138,171
192,product-192,198,233,110,99,42,68,183,29,179
193,product-193,175,214,84,83,205,95,52,100,171
194,product-194,181,270,160,104,40,119,102,119,193
195,product-195,194,235,77,217,188,182,205,171,142
196,product-196,143,236,83,74,200,109,53,58,83
197,product-197,92,151,165,131,171,91,58,192,105
198,product-198,83,176,133,107,183,116,123,75,237
199,product-199,113,116,149,142,119,136,133,127,258
200,product-200,7,13,31,144,173,126,136,151,64
201,product-201,138,210,93,236,244,202,55,70,27
202,product-202,81,120,46,148,181,170,187,198,133
203,product-203,68,136,25,145,88,192,209,108,192
204,product-204,167,246,147,195,167,102,111,64,129
205,product-205,206,267,92,247,40,70,232,182,59
206,product-206,238,287,101,94,11,198,207,137,59
207,product-207,193,255,197,211,193,93,122,131,226
208,product-208,197,224,99,83,194,119,92,226,152
209,product-209,62,67,191,163,162,94,251,106,128
210,product-210,104,142,214,212,203,194,120,139,190
211,product-211,136,149,191,197,157,169,128,5,142
212,product-212,126,187,142,190,176,216,1,181,194
213,product-213,149,214,186,118,44,32,145,117,170
214,product-214,139,216,77,16,59,106,33,84,24
215,product-215,107,190,193,81,185,161,217,144,163
216,product-216,205,232,152,259,242,175,154,131,175
217,product-217,41,57,41,170,186,148,111,90,101
218,product-218,16,36,252,95,158,131,204,11,223
219,product-219,223,229,163,153,147,71,180,223,163
220,product-220,166,194,159,77,149,69,28,55,113
221,product-221,200,271,156,16,47,190,128,153,144
222,product-222,34,52,133,44,223,134,220,109,115
223,product-223,135,152,99,149,148,36,89,273,123
224,product-224,201,220,57,210,197,182,131,89,94
225,product-225,171,261,135,196,201,107,113,242,78
226,product-226,219,290,48,199,141,160,130,170,129
227,product-227,141,142,40,76,155,67,175,29,159
228,product-228,168,190,135,201,219,182,186,26,16
229,product-229,184,223,207,166,76,171,31,170,199
230,product-230,169,207,221,66,220,168,50,190,180
231,product-231,132,143,150,57,128,116,169,178,116
232,product-232,143,188,157,81,177,140,132,75,164
233,product-233,158,193,139,148,148,53,230,75,73
234,product-234,200,273,120,122,215,103,165,161,145
235,product-235,228,233,93,79,123,143,220,170,145
236,product-236,156,190,81,64,94,74,142,90,161
237,product-237,55,128,189,87,97,95,3,8,252
238,product-238,227,288,195,128,33,137,154,221,159
239,product-239,77,141,160,118,217,89,143,213,181
240,product-240,182,236,202,84,161,177,171,167,211
241,product-241,183,233,152,63,228,38,94,173,129
242,product-242,104,182,47,65,235,215,174,147,157
243,product-243,143,197,69,151,110,136,160,47,136
244,product-244,70,79,157,195,134,89,165,26,112
245,product-245,203,251,122,105,186,48,138,90,194
246,product-246,120,203,86,31,120,226,112,7,155
247,product-247,284,305,139,210,151,34,135,155,180
248,product-248,79,100,97,6,155,45,125,11,53
249,product-249,149,194,18,59,95,216,119,179,72
250,product-250,138,207,181,35,218,174,151,149,85
251,product-251,139,213,133,91,179,119,134,76,129
252,product-252,79,137,96,101,180,238,57,239,92
253,product-253,196,240,132,163,100,68,174,104,172
254,product-254,194,209,39,170,224,113,150,117,23
255,product-255,64,138,111,152,59,216,102,184,150
256,product-256,196,288,100,101,285,56,11,111,96
257,product-257,221,310,185,53,204,96,250,118,88
258,product-258,177,264,63,45,80,104,143,213,78
259,product-259,223,310,8,204,25,87,138,106,180
260,product-260,177,225,150,91,128,87,251,216,97
261,product-261,127,173,159,215,118,35,47,156,158
262,product-262,199,288,212,62,105,131,132,236,152
263,product-263,65,111,88,184,40,179,116,137,107
264,product-264,171,209,233,141,141,164,153,202,155
265,product-265,39,67,75,126,91,112,157,83,187
266,product-266,157,161,14,181,259,25,110,118,208
267,product-267,210,249,33,138,16,123,72,120,88
268,product-268,86,135,47,68,47,173,38,208,79
269,product-269,268,342,62,170,98,191,74,174,158
270,product-270,57,79,116,34,194,40,120,16,76
271,product-271,228,229,22,106,80,149,191,146,54
272,product-272,118,215,103,56,175,67,149,40,208
273,product-273,177,263,142,130,67,10,92,140,170
274,product-274,35,122,30,106,176,207,106,57,225
275,product-275,30,125,42,92,139,140,179,166,66
276,product-276,61,129,190,173,80,202,134,161,114
277,product-277,137,140,165,125,124,58,134,84,140
278,product-278,163,247,15,117,126,201,81,204,29
279,product-279,96,112,198,83,102,21,33,175,90
280,product-280,87,106,48,185,148,124,57,242,44
281,product-281,171,254,133,178,177,148,41,42,161
282,product-282,114,154,88,189,197,127,169,192,28
283,product-283,45,108,131,77,71,163,200,41,141
284,product-284,221,301,110,138,210,17,174,262,195
285,product-285,153,160,141,73,143,115,73,182,12
286,product-286,99,132,181,212,97,145,214,166,148
287,product-287,209,215,140,157,229,101,52,39,147
288,product-288,151,231,220,107,78,197,188,172,51
289,product-289,118,203,179,111,126,187,8,111,105
290,product-290,139,146,198,17,20,163,143,141,197
291,product-291,58,60,58,75,38,125,66,47,144
292,product-292,126,126,13,49,240,50,100,210,215
293,product-293,178,198,137,266,66,108,162,158,48
294,product-294,199,219,34,71,97,194,62,195,151
295,product-295,190,213,65,145,147,172,114,188,103
296,product-296,56,109,119,158,98,189,177,123,44
297,product-297,217,307,197,19,174,128,160,40,110
298,product-298,112,155,134,145,182,45,37,35,109
299,product-299,145,201,189,7,93,256,130,119,101
300,product-300,245,247,70,140,59,103,233,146,117
301,product-301,163,248,224,97,133,62,95,197,264
302,product-302,189,192,111,160,57,181,112,124,121
303,product-303,65,94,191,31,66,61,46,27,147
304,product-304,222,236,68,139,10,173,112,32,6
305,product-305,204,251,49,13,82,72,95,186,216
306,product-306,229,300,93,137,169,96,120,103,205
307,product-307,134,158,46,44,150,52,79,187,190
308,product-308,263,346,112,198,166,180,65,188,146
309,product-309,57,113,193,211,82,159,158,141,8
310,product-310,46,119,235,141,254,71,61,32,201
311,product-311,116,154,74,121,48,224,172,53,199
312,product-312,24,95,133,181,206,252,50,57,59
313,product-313,101,167,245,76,131,228,192,103,83
314,product-314,85,85,196,45,244,145,183,149,200
315,product-315,196,215,85,26,179,66,36,183,144
316,product-316,45,136,131,51,208,169,50,101,169
317,product-317,133,143,102,191,256,128,81,190,216
318,product-318,71,163,71,102,66,229,64,147,150
319,product-319,43,109,205,150,163,169,72,142,177
320,product-320,90,140,146,26,197,64,15,15,174
321,product-321,50,112,26,158,106,137,120,231,99
322,product-322,65,113,147,124,80,63,66,175,139
323,product-323,67,104,196,54,184,178,172,123,29
324,product-324,148,234,9,126,59,180,215,227,123
325,product-325,141,195,131,198,99,119,170,201,124
326,product-326,87,154,92,36,128,56,180,73,189
327,product-327,164,171,189,133,147,75,145,49,148
328,product-328,233,253,85,164,78,206,57,240,157
329,product-329,64,71,64,81,181,99,100,126,108
330,product-330,20,65,23,155,159,96,91,161,205
331,product-331,113,168,145,185,179,81,175,192,199
332,product-332,158,209,91,191,143,71,95,188,213
333,product-333,38,95,117,178,236,69,132,99,194
334,product-334,23,111,72,120,148,201,61,193,61
335,product-335,16,67,43,84,154,229,89,153,68
336,product-336,144,237,152,179,238,103,56,60,290
337,product-337,79,129,162,171,36,169,154,81,91
338,product-338,189,226,135,69,22,112,178,83,89
339,product-339,171,188,144,54,94,106,63,50,218
340,product-340,152,172,171,152,62,132,159,138,168
341,product-341,129,198,72,166,214,79,36,74,178
342,product-342,141,217,75,151,82,190,79,56,172
343,product-343,82,148,165,66,26,77,64,193,127
344,product-344,160,164,109,220,151,160,209,98,23
345,product-345,209,281,183,152,90,40,95,82,129
346,product-346,148,181,18,152,96,46,205,33,173
347,product-347,176,218,121,138,53,192,230,103,45
348,product-348,147,151,154,66,5,101,176,178,156
349,product-349,214,257,122,127,137,28,142,76,95
350,product-350,108,156,122,147,68,66,117,178,140
351,product-351,45,74,176,18,150,132,69,213,110
352,product-352,133,179,111,187,282,57,165,185,180
353,product-353,170,258,67,156,118,147,181,169,140
354,product-354,110,189,110,145,42,197,182,240,22
355,product-355,182,192,170,92,222,101,99,84,261
356,product-356,171,205,107,54,138,69,108,215,40
357,product-357,25,34,56,66,199,172,186,145,162
358,product-358,51,108,97,257,213,116,113,13,93
359,product-359,114,157,179,75,183,116,93,129,147
360,product-360,179,237,147,145,159,24,136,54,117
361,product-361,14,24,166,65,59,52,247,178,75
362,product-362,119,146,243,38,210,154,73,245,184
363,product-363,81,97,36,26,36,212,219,182,152
364,product-364,35,61,211,132,54,179,127,83,103
365,product-365,41,63,122,115,100,83,104,165,192
366,product-366,59,60,199,37,155,11,143,157,142
367,product-367,199,246,36,128,28,68,37,97,33
368,product-368,120,166,50,195,233,45,50,23,133
369,product-369,45,119,179,130,150,106,210,145,187
370,product-370,247,319,85,104,78,20,93,36,70
371,product-371,193,203,68,249,83,91,191,8,48
372,product-372,90,97,186,95,9,35,194,172,66
373,product-373,143,232,31,82,177,82,108,95,197
374,product-374,93,176,133,142,199,66,76,67,162
375,product-375,105,115,72,145,143,67,117,55,76
376,product-376,63,112,228,25,53,14,102,55,124
377,product-377,76,158,137,175,172,68,77,79,198
378,product-378,25,29,178,157,85,140,60,25,113
379,product-379,98,111,57,178,17,185,50,45,153
380,product-380,58,113,155,197,188,111,130,178,102
381,product-381,135,151,94,166,127,74,118,14,65
382,product-382,191,214,121,89,226,130,211,109,98
383,product-383,19,47,123,160,178,137,97,65,71
384,product-384,144,235,177,55,167,131,19,54,184
385,product-385,71,114,77,50,131,121,130,143,165
386,product-386,90,179,95,164,110,89,47,196,166
387,product-387,82,158,123,132,20,107,51,163,174
388,product-388,93,166,229,95,129,248,198,200,10
389,product-389,163,216,170,257,130,165,110,197,132
390,product-390,139,214,185,10,187,108,175,112,102
391,product-391,39,59,103,210,55,159,231,149,107
392,product-392,141,173,210,202,229,185,103,87,100
393,product-393,154,227,273,96,158,69,127,68,182
394,product-394,139,222,185,184,46,93,216,89,221
395,product-395,192,222,115,132,61,133,74,136,168
396,product-396,43,47,145,132,104,169,159,205,210
397,product-397,200,284,23,185,89,85,164,78,180
398,product-398,110,205,191,131,122,88,27,29,65
399,product-399,147,210,100,91,183,80,92,150,103
400,product-400,22,60,167,233,51,176,191,168,150
401,product-401,195,209,183,138,197,65,78,29,171
402,product-402,134,181,116,64,198,102,143,129,84
403,product-403,42,115,134,144,120,183,167,241,173
404,product-404,117,126,62,179,179,145,235,176,184
405,product-405,197,260,138,59,138,211,46,125,57
406,product-406,218,302,181,31,65,49,198,187,189
407,product-407,175,212,102,121,233,113,99,163,111
408,product-408,127,166,104,95,102,120,123,119,64
409,product-409,53,127,153,56,128,167,217,171,71
410,product-410,195,198,167,236,27,139,32,181,126
411,product-411,2,40,57,167,176,161,169,110,182
412,product-412,145,210,229,205,31,106,152,95,79
413,product-413,139,220,221,145,216,135,234,76,62
414,product-414,120,145,231,44,99,138,129,56,36
415,product-415,50,107,51,151,69,18,140,127,165
416,product-416,51,64,77,154,143,230,44,16,152
417,product-417,190,197,53,146,86,123,27,133,152
418,product-418,34,90,157,31,117,34,92,52,208
419,product-419,11,90,106,110,176,104,220,121,132
420,product-420,23,105,47,236,39,91,72,179,201
421,product-421,191,240,59,36,84,83,73,187,121
422,product-422,89,172,94,39,156,102,105,191,166
423,product-423,121,148,114,95,82,172,174,87,126
424,product-424,123,154,122,73,115,55,190,142,162
425,product-425,60,129,187,88,76,137,113,194,190
426,product-426,175,213,208,25,106,121,141,140,164
427,product-427,146,203,166,161,189,26,206,131,203
428,product-428,107,192,64,86,238,157,192,82,158
429,product-429,200,262,209,159,89,178,153,198,45
430,product-430,34,50,73,121,104,237,72,159,25
431,product-431,198,249,36,109,2,120,52,203,200
432,product-432,204,211,191,89,190,151,68,116,147
433,product-433,200,208,149,150,79,68,9,183,160
434,product-434,84,117,44,186,188,29,152,117,179
435,product-435,15,78,165,203,130,162,197,132,186
436,product-436,187,278,59,236,94,115,214,72,213
437,product-437,102,125,185,159,140,104,232,117,40
438,product-438,63,133,130,142,205,84,180,13,101
439,product-439,228,281,163,100,146,36,194,200,208
440,product-440,41,122,187,102,59,195,90,43,31
441,product-441,107,153,196,27,43,179,146,56,155
442,product-442,37,46,203,41,85,93,141,154,186
443,product-443,115,150,32,95,137,12,65,174,166
444,product-444,199,225,40,115,151,85,86,221,179
445,product-445,131,145,76,132,112,66,31,99,154
446,product-446,227,249,58,107,209,77,104,148,20
447,product-447,21,24,205,101,25,192,131,175,53
448,product-448,157,208,69,231,11,93,41,133,204
449,product-449,67,158,72,10,186,76,169,59,141
450,product-450,86,132,220,61,80,138,118,30,194
451,product-451,270,290,129,146,91,154,72,125,115
452,product-452,200,276,108,108,113,120,140,35,178
453,product-453,67,164,8,63,151,23,166,157,39
454,product-454,182,253,85,119,122,211,32,24,75
455,product-455,138,210,93,123,129,76,134,108,161
456,product-456,219,293,67,204,170,146,195,41,162
457,product-457,64,101,35,211,104,107,149,108,55
458,product-458,53,109,146,114,60,183,93,203,196
459,product-459,218,239,230,121,124,174,193,8,114
460,product-460,161,164,129,135,171,213,82,100,118
461,product-461,63,101,68,132,68,49,203,34,161
462,product-462,189,211,181,76,93,94,54,183,75
463,product-463,245,249,67,186,92,185,88,128,128
464,product-464,72,165,91,191,63,72,20,12,77
465,product-465,81,152,163,237,59,113,190,45,47
466,product-466,180,200,165,151,154,136,74,129,97
467,product-467,104,174,136,121,221,53,38,98,68
468,product-468,204,286,117,137,211,147,211,199,48
469,product-469,135,157,50,63,119,123,59,191,158
470,product-470,56,146,128,256,80,104,194,11,178
471,product-471,196,226,179,182,21,146,85,124,168
472,product-472,201,201,27,239,153,61,196,83,142
473,product-473,69,135,184,118,72,174,32,93,174
474,product-474,148,215,53,21,242,150,176,190,16
475,product-475,41,71,198,166,228,46,135,195,195
476,product-476,17,43,155,255,194,189,107,163,245
477,product-477,208,287,16,158,92,255,111,94,71
478,product-478,168,216,219,181,234,176,103,96,47
479,product-479,185,261,189,201,118,136,64,136,170
480,product-480,96,153,158,78,202,42,237,169,202
481,product-481,145,194,209,149,98,38,182,206,81
482,product-482,198,216,200,224,222,208,122,112,107
483,product-483,24,43,173,211,31,129,130,203,246
484,product-484,180,181,87,113,150,40,232,18,94
485,product-485,154,173,32,173,20,233,32,246,29
486,product-486,183,187,180,183,211,129,157,65,131
487,product-487,54,141,38,109,187,121,133,42,168
488,product-488,138,188,37,89,214,101,31,76,54
489,product-489,110,190,54,221,55,40,0,244,110
490,product-490,99,124,189,102,166,137,213,210,172
491,product-491,92,154,115,143,140,173,210,129,172
492,product-492,267,333,205,39,221,197,52,98,99
493,product-493,100,119,278,217,224,165,58,151,159
494,product-494,83,93,234,243,12,166,203,121,74
495,product-495,76,161,168,193,84,130,194,221,233
496,product-496,81,128,149,36,151,44,160,238,216
497,product-497,29,77,43,29,154,26,149,111,59
498,product-498,110,182,17,19,94,197,173,27,44
499,product-499,133,138,56,113,139,244,229,28,26
500,product-500,22,38,127,104,168,176,20,117,41
501,product-501,148,238,132,178,161,167,130,89,43
502,product-502,95,129,204,114,92,149,188,123,86
503,product-503,147,181,100,89,176,192,211,207,92
504,product-504,171,219,66,239,202,88,138,109,185
505,product-505,74,147,159,172,207,177,199,63,60
506,product-506,181,237,51,187,72,61,165,9,120
507,product-507,248,261,207,16,184,58,157,83,82
508,product-508,143,197,181,119,189,60,89,237,150
509,product-509,133,203,150,72,95,177,139,42,194
510,product-510,188,224,56,94,140,69,62,91,114
511,product-511,177,233,151,56,102,174,235,49,141
512,product-512,172,196,212,177,257,139,185,66,231
513,product-513,166,255,198,178,59,188,150,86,204
514,product-514,213,293,144,156,59,133,171,87,184
515,product-515,196,279,137,212,226,69,107,89,155
516,product-516,53,68,190,186,177,86,114,189,180
517,product-517,216,273,87,124,116,113,173,221,48
518,product-518,116,143,251,4,129,132,109,222,21
519,product-519,252,267,56,201,146,121,140,157,74
520,product-520,75,158,120,58,22,37,121,102,134
521,product-521,68,143,203,55,31,32,59,153,211
522,product-522,95,167,50,55,71,75,160,144,63
523,product-523,37,101,152,85,183,129,132,75,123
524,product-524,161,179,134,153,199,175,207,43,98
525,product-525,69,99,9,115,59,127,184,157,116
526,product-526,216,286,165,135,33,114,199,66,18
527,product-527,228,289,122,120,52,169,215,164,154
528,product-528,227,251,97,95,163,50,22,183,188
529,product-529,167,188,147,65,217,114,98,132,31
530,product-530,110,142,159,128,237,106,150,30,189
531,product-531,165,252,79,255,147,67,122,160,115
532,product-532,89,176,194,178,205,201,109,62,144
533,product-533,204,252,180,132,67,173,101,239,105
534,product-534,229,233,71,160,125,149,90,197,43
535,product-535,191,226,32,176,88,181,75,8,65
536,product-536,122,146,54,172,104,89,94,207,111
537,product-537,46,47,168,184,140,99,182,16,110
538,product-538,209,270,105,90,74,107,179,78,59
539,product-539,227,286,70,196,127,94,94,167,129
540,product-540,111,132,155,36,116,54,213,125,218
541,product-541,179,231,62,191,94,101,6,219,187
542,product-542,155,158,127,76,162,184,170,38,108
543,product-543,75,160,184,47,159,72,124,126,67
544,product-544,158,187,114,151,143,116,15,74,10
545,product-545,95,102,96,147,215,39,180,206,34
546,product-546,147,217,191,106,131,177,201,140,24
547,product-547,93,139,120,192,120,27,53,114,218
548,product-548,25,78,66,288,180,33,64,47,153
549,product-549,164,173,69,148,175,191,168,198,186
550,product-550,172,227,193,65,68,93,94,194,151
551,product-551,86,148,100,145,229,138,193,185,21
552,product-552,43,50,172,106,61,132,196,180,179
553,product-553,105,160,244,209,129,71,155,95,100
554,product-554,205,279,204,126,92,240,204,194,156
555,product-555,89,114,197,134,42,119,87,126,113
556,product-556,191,272,95,5,245,134,201,126,23
557,product-557,96,135,162,38,104,52,207,176,87
558,product-558,88,117,77,124,196,51,109,152,55
559,product-559,155,183,79,171,200,152,181,71,173
560,product-560,204,266,68,99,184,85,57,147,175
561,product-561,122,151,163,27,148,171,168,45,110
562,product-562,61,130,164,25,59,93,122,159,157
563,product-563,87,110,106,68,230,153,239,52,192
564,product-564,161,205,83,113,259,91,146,213,132
565,product-565,86,161,246,144,35,39,66,126,48
566,product-566,192,263,93,31,77,195,54,145,39
567,product-567,194,286,111,193,186,44,21,64,128
568,product-568,104,122,86,66,164,48,133,87,164
569,product-569,157,174,101,216,203,86,178,103,35
570,product-570,205,262,33,217,162,126,204,209,172
571,product-571,194,213,141,172,114,184,207,119,142
572,product-572,101,139,53,220,102,199,99,198,238
573,product-573,115,150,211,216,140,122,119,81,71
574,product-574,26,53,216,236,100,133,199,57,233
575,product-575,24,39,236,124,54,94,101,123,46
576,product-576,186,186,115,42,78,161,197,216,49
577,product-577,188,207,172,119,122,185,51,51,102
578,product-578,35,102,123,145,79,205,153,51,72
579,product-579,91,161,173,160,126,122,26,112,135
